trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,robot_id,steps_total,targets_found,task_cell_revisits,unique_cells_contributed,system_revisits_by_robot,task_cell_replans,path_replans,collision_prevention_events,blocked_task_quarantines,blocked_task_quarantine_time_s,maximum_quarantine_level,stall_recoveries,messages_sent,core_messages_sent,allocation_messages_sent,messages_delivered_to_robot,messages_dropped_to_robot,benchmark_suite,num_targets,num_robots,commitment_horizon
312,known_visit,DMCHBA,rayleigh_style,-32.58,19,361,4,10,dmchba_rayleigh_style_sens_neg32_58,scenarios/known_visit_g19_t10_n500.csv,01,31,0,2,26,6,0,0,0,0,0.0,0,0,64,64,0,119,73,known_visit_core_500,10,4,8
312,known_visit,DMCHBA,rayleigh_style,-32.58,19,361,4,10,dmchba_rayleigh_style_sens_neg32_58,scenarios/known_visit_g19_t10_n500.csv,02,31,2,1,22,10,0,0,0,0,0.0,0,0,64,64,0,131,59,known_visit_core_500,10,4,8
312,known_visit,DMCHBA,rayleigh_style,-32.58,19,361,4,10,dmchba_rayleigh_style_sens_neg32_58,scenarios/known_visit_g19_t10_n500.csv,03,32,5,0,33,0,0,0,0,0,0.0,0,0,65,65,0,110,80,known_visit_core_500,10,4,8
313,known_visit,DMCHBA,rayleigh_style,-32.58,19,361,4,10,dmchba_rayleigh_style_sens_neg32_58,scenarios/known_visit_g19_t10_n500.csv,00,39,3,2,26,14,0,0,0,0,0.0,0,0,79,79,0,138,99,known_visit_core_500,10,4,8
313,known_visit,DMCHBA,rayleigh_style,-32.58,19,361,4,10,dmchba_rayleigh_style_sens_neg32_58,scenarios/known_visit_g19_t10_n500.csv,01,39,3,2,33,7,0,0,0,0,0.0,0,0,79,79,0,162,75,known_visit_core_500,10,4,8
313,known_visit,DMCHBA,rayleigh_style,-32.58,19,361,4,10,dmchba_rayleigh_style_sens_neg32_58,scenarios/known_visit_g19_t10_n500.csv,02,39,3,2,32,8,0,0,0,0,0.0,0,0,79,79,0,153,83,known_visit_core_500,10,4,8
313,known_visit,DMCHBA,rayleigh_style,-32.58,19,361,4,10,dmchba_rayleigh_style_sens_neg32_58,scenarios/known_visit_g19_t10_n500.csv,03,39,1,3,27,13,0,0,0,0,0.0,0,0,79,79,0,155,81,known_visit_core_500,10,4,8
314,known_visit,DMCHBA,rayleigh_style,-32.58,19,361,4,10,dmchba_rayleigh_style_sens_neg32_58,scenarios/known_visit_g19_t10_n500.csv,00,22,0,1,20,3,1,0,0,0,0.0,0,0,45,45,0,76,59,known_visit_core_500,10,4,8
314,known_visit,DMCHBA,rayleigh_style,-32.58,19,361,4,10,dmchba_rayleigh_style_sens_neg32_58,scenarios/known_visit_g19_t10_n500.csv,01,22,5,0,23,0,0,0,0,0,0.0,0,0,45,45,0,82,53,known_visit_core_500,10,4,8
314,known_visit,DMCHBA,rayleigh_style,-32.58,19,361,4,10,dmchba_rayleigh_style_sens_neg32_58,scenarios/known_visit_g19_t10_n500.csv,02,22,2,0,23,0,1,0,0,0,0.0,0,0,45,45,0,89,46,known_visit_core_500,10,4,8
314,known_visit,DMCHBA,rayleigh_style,-32.58,19,361,4,10,dmchba_rayleigh_style_sens_neg32_58,scenarios/known_visit_g19_t10_n500.csv,03,22,3,0,23,0,0,0,0,0,0.0,0,0,45,45,0,76,59,known_visit_core_500,10,4,8
315,known_visit,DMCHBA,rayleigh_style,-32.58,19,361,4,10,dmchba_rayleigh_style_sens_neg32_58,scenarios/known_visit_g19_t10_n500.csv,00,27,1,2,17,11,1,1,1,0,0.0,0,0,56,56,0,116,51,known_visit_core_500,10,4,8
315,known_visit,DMCHBA,rayleigh_style,-32.58,19,361,4,10,dmchba_rayleigh_style_sens_neg32_58,scenarios/known_visit_g19_t10_n500.csv,01,27,3,1,22,6,0,0,0,0,0.0,0,0,55,55,0,111,57,known_visit_core_500,10,4,8
315,known_visit,DMCHBA,rayleigh_style,-32.58,19,361,4,10,dmchba_rayleigh_style_sens_neg32_58,scenarios/known_visit_g19_t10_n500.csv,02,28,3,1,26,3,0,0,0,0,0.0,0,0,57,57,0,121,45,known_visit_core_500,10,4,8
315,known_visit,DMCHBA,rayleigh_style,-32.58,19,361,4,10,dmchba_rayleigh_style_sens_neg32_58,scenarios/known_visit_g19_t10_n500.csv,03,27,3,0,27,1,0,0,0,0,0.0,0,0,55,55,0,103,65,known_visit_core_500,10,4,8
316,known_visit,DMCHBA,rayleigh_style,-32.58,19,361,4,10,dmchba_rayleigh_style_sens_neg32_58,scenarios/known_visit_g19_t10_n500.csv,00,27,3,0,25,3,2,3,1,1,5.0,1,0,58,58,0,121,52,known_visit_core_500,10,4,8
316,known_visit,DMCHBA,rayleigh_style,-32.58,19,361,4,10,dmchba_rayleigh_style_sens_neg32_58,scenarios/known_visit_g19_t10_n500.csv,01,28,3,0,29,0,1,3,1,1,5.0,1,0,60,60,0,121,50,known_visit_core_500,10,4,8
