trial_id,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,trial_status,failure_type,failure_message,target_x,target_y,clue_locations,first_clue_robot,first_clue_x,first_clue_y,robot_start_locations,robot_end_locations,clues_detected_by_robot,target_found_by_robot
42,CBAA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,cbaa_gilbert_elliott_drop_0_70_rho_0_8,,coverage,failed,RuntimeError,Debug safety cap reached in trial 42. This usually means the allocator is stuck or returning no reachable goals.,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)",,,
43,CBAA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,cbaa_gilbert_elliott_drop_0_70_rho_0_8,,coverage,completed,,,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(6,4);01:(5,5);02:(6,5);03:(18,18)",00:0;01:0;02:0;03:0,
44,CBAA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,cbaa_gilbert_elliott_drop_0_70_rho_0_8,,coverage,completed,,,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(0,3);01:(0,4);02:(0,5);03:(18,18)",00:0;01:0;02:0;03:0,
45,CBAA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,cbaa_gilbert_elliott_drop_0_70_rho_0_8,,coverage,completed,,,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(4,4);01:(4,5);02:(4,3);03:(18,0)",00:0;01:0;02:0;03:0,
46,CBAA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,cbaa_gilbert_elliott_drop_0_70_rho_0_8,,coverage,completed,,,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(0,3);01:(0,4);02:(0,5);03:(18,18)",00:0;01:0;02:0;03:0,
47,CBAA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,cbaa_gilbert_elliott_drop_0_70_rho_0_8,,coverage,completed,,,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(5,11);01:(18,18);02:(6,11);03:(5,10)",00:0;01:0;02:0;03:0,
48,CBAA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,cbaa_gilbert_elliott_drop_0_70_rho_0_8,,coverage,completed,,,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(7,17);01:(18,18);02:(7,16);03:(8,16)",00:0;01:0;02:0;03:0,
49,CBAA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,cbaa_gilbert_elliott_drop_0_70_rho_0_8,,coverage,completed,,,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(2,8);01:(1,8);02:(18,18);03:(1,9)",00:0;01:0;02:0;03:0,
50,CBAA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,cbaa_gilbert_elliott_drop_0_70_rho_0_8,,coverage,completed,,,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(18,18);01:(2,4);02:(2,3);03:(1,4)",00:0;01:0;02:0;03:0,
51,CBAA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,cbaa_gilbert_elliott_drop_0_70_rho_0_8,,coverage,completed,,,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(0,9);01:(0,8);02:(18,18);03:(0,10)",00:0;01:0;02:0;03:0,
