experiment,algorithm,task_load,outcome,unit_of_analysis,terminal_jobs,completed_jobs,failed_jobs,timeout_jobs,completion_rate,n,mean,median,std,p95,minimum,maximum
experiment2,DMCHBA,10,cumulative_team_allocator_time_ms,scenario_trial,100,100,0,0,1.0,100,25.154035,24.12995,9.435272381837724,39.601425,8.7114,56.9471
experiment2,DMCHBA,10,maximum_cumulative_robot_allocator_time_ms,scenario_trial,100,100,0,0,1.0,100,11.017676,10.451450000000001,5.277859186119794,19.375519999999984,3.0971,27.9538
experiment2,DMCHBA,10,allocator_calls_total,scenario_trial,100,100,0,0,1.0,100,66.61,65.5,21.606160270074867,105.19999999999999,29.0,131.0
experiment2,DMCHBA,10,maximum_robot_allocator_calls,scenario_trial,100,100,0,0,1.0,100,26.18,26.0,9.78803639989434,40.099999999999994,8.0,57.0
experiment2,DMCHBA,10,median_of_robot_call_medians_ms,scenario_trial,100,100,0,0,1.0,100,0.13834475,0.12515,0.070460591938693,0.25528124999999996,0.032525,0.34457499999999996
experiment2,DMCHBA,10,maximum_robot_call_p95_ms,scenario_trial,100,100,0,0,1.0,100,1.843221,1.8956499999999998,0.32042670518065325,2.223385,1.0748,2.4324
experiment2,DGA,10,cumulative_team_allocator_time_ms,scenario_trial,100,100,0,0,1.0,100,9602.328727,7794.730949999999,6344.061968061624,19857.46495,2357.3717,48359.6195
experiment2,DGA,10,maximum_cumulative_robot_allocator_time_ms,scenario_trial,100,100,0,0,1.0,100,4989.8938880000005,3693.5151,3979.9913487840604,12991.887009999999,766.7112,20733.5819
experiment2,DGA,10,allocator_calls_total,scenario_trial,100,100,0,0,1.0,100,91.76,78.0,105.52630195378025,146.1,37.0,1100.0
experiment2,DGA,10,maximum_robot_allocator_calls,scenario_trial,100,100,0,0,1.0,100,37.95,31.0,31.508977396381123,68.1,11.0,300.0
experiment2,DGA,10,median_of_robot_call_medians_ms,scenario_trial,100,100,0,0,1.0,100,75.0905205,76.817575,41.09005383571629,155.97785,0.058399999999999994,204.517525
experiment2,DGA,10,maximum_robot_call_p95_ms,scenario_trial,100,100,0,0,1.0,100,277.822688,279.05764999999997,39.18625653410933,334.865095,115.9633,375.3623
experiment2,CBAA,25,cumulative_team_allocator_time_ms,scenario_trial,50,50,0,0,1.0,50,31.703841999999998,29.5792,11.899888353533715,46.577844999999975,18.3012,98.1016
experiment2,CBAA,25,maximum_cumulative_robot_allocator_time_ms,scenario_trial,50,50,0,0,1.0,50,10.288208,9.5739,4.235089413982247,16.381689999999985,5.316,31.0917
experiment2,CBAA,25,allocator_calls_total,scenario_trial,50,50,0,0,1.0,50,111.4,103.5,37.01075409076863,152.89999999999995,78.0,326.0
experiment2,CBAA,25,maximum_robot_allocator_calls,scenario_trial,50,50,0,0,1.0,50,34.92,32.0,13.159678676059794,51.099999999999994,22.0,103.0
experiment2,CBAA,25,median_of_robot_call_medians_ms,scenario_trial,50,50,0,0,1.0,50,0.19903700000000002,0.198,0.0703378414859168,0.31257625,0.06525,0.33475
experiment2,CBAA,25,maximum_robot_call_p95_ms,scenario_trial,50,50,0,0,1.0,50,0.977566,0.8756999999999999,0.6273469295731813,1.2077849999999994,0.5898,5.2217
experiment2,ACBBA,25,cumulative_team_allocator_time_ms,scenario_trial,50,50,0,0,1.0,50,97.227398,96.07235,16.909546146065374,125.55653499999998,58.7832,145.7692
experiment2,ACBBA,25,maximum_cumulative_robot_allocator_time_ms,scenario_trial,50,50,0,0,1.0,50,30.021729999999998,30.4144,5.465296226198727,39.32084,19.9777,43.6169
experiment2,ACBBA,25,allocator_calls_total,scenario_trial,50,50,0,0,1.0,50,137.34,133.5,33.30662126977402,198.69999999999996,87.0,257.0
experiment2,ACBBA,25,maximum_robot_allocator_calls,scenario_trial,50,50,0,0,1.0,50,45.86,44.0,12.18063032449638,67.74999999999999,26.0,82.0
experiment2,ACBBA,25,median_of_robot_call_medians_ms,scenario_trial,50,50,0,0,1.0,50,0.5105525,0.504625,0.0773845859265953,0.61824,0.392,0.848025
experiment2,ACBBA,25,maximum_robot_call_p95_ms,scenario_trial,50,50,0,0,1.0,50,2.124466,2.10115,0.23831356175922375,2.4733599999999996,1.4921,3.0596
experiment2,PI,25,cumulative_team_allocator_time_ms,scenario_trial,50,50,0,0,1.0,50,149.91048,146.50465,23.9184110932758,191.69286999999997,101.0864,214.0925
experiment2,PI,25,maximum_cumulative_robot_allocator_time_ms,scenario_trial,50,50,0,0,1.0,50,48.124052,47.01625,10.120069381573085,70.70826999999998,31.0462,74.3249
experiment2,PI,25,allocator_calls_total,scenario_trial,50,50,0,0,1.0,50,143.62,131.0,43.00920167326323,224.84999999999997,87.0,297.0
experiment2,PI,25,maximum_robot_allocator_calls,scenario_trial,50,50,0,0,1.0,50,50.1,47.5,15.92616894117531,79.29999999999998,27.0,106.0
experiment2,PI,25,median_of_robot_call_medians_ms,scenario_trial,50,50,0,0,1.0,50,0.7499030000000001,0.7616875,0.09772216690230336,0.86809375,0.5292250000000001,0.9548000000000001
experiment2,PI,25,maximum_robot_call_p95_ms,scenario_trial,50,50,0,0,1.0,50,4.516932,4.6449,0.8173941370487268,5.670455,2.5302,6.777
experiment2,HIPC,25,cumulative_team_allocator_time_ms,scenario_trial,50,50,0,0,1.0,50,278.301722,282.619,35.45326204236513,325.92059,217.8718,401.717
experiment2,HIPC,25,maximum_cumulative_robot_allocator_time_ms,scenario_trial,50,50,0,0,1.0,50,80.95348200000001,78.90854999999999,14.292301601021697,99.46297499999999,62.5006,156.0704
experiment2,HIPC,25,allocator_calls_total,scenario_trial,50,50,0,0,1.0,50,134.2,134.5,28.244558804145203,181.84999999999997,94.0,216.0
experiment2,HIPC,25,maximum_robot_allocator_calls,scenario_trial,50,50,0,0,1.0,50,46.0,46.0,11.120857403444894,66.1,27.0,78.0
experiment2,HIPC,25,median_of_robot_call_medians_ms,scenario_trial,50,50,0,0,1.0,50,1.0222795,0.8789625000000001,0.48210175440381325,1.8089025,0.4365,2.02845
experiment2,HIPC,25,maximum_robot_call_p95_ms,scenario_trial,50,50,0,0,1.0,50,8.601952,8.2455,1.7224929012311885,10.769954999999998,6.4518,16.9998
experiment2,DMCHBA,25,cumulative_team_allocator_time_ms,scenario_trial,50,50,0,0,1.0,50,104.58188,100.40084999999999,18.50672596235526,138.534015,66.8892,148.6753
experiment2,DMCHBA,25,maximum_cumulative_robot_allocator_time_ms,scenario_trial,50,50,0,0,1.0,50,34.66415,33.31115,7.044879458369688,47.432114999999996,22.9827,57.1229
experiment2,DMCHBA,25,allocator_calls_total,scenario_trial,50,50,0,0,1.0,50,121.94,106.0,38.26247162290849,183.39999999999998,69.0,235.0
experiment2,DMCHBA,25,maximum_robot_allocator_calls,scenario_trial,50,50,0,0,1.0,50,41.06,37.0,14.766771855094403,69.19999999999999,19.0,76.0
experiment2,DMCHBA,25,median_of_robot_call_medians_ms,scenario_trial,50,50,0,0,1.0,50,0.119818,0.11935000000000001,0.04396300306821078,0.18468499999999993,0.05545,0.24322500000000002
experiment2,DMCHBA,25,maximum_robot_call_p95_ms,scenario_trial,50,50,0,0,1.0,50,10.422734,10.3414,3.6241247969012167,16.499544999999998,3.2065,18.1093
experiment2,DGA,25,cumulative_team_allocator_time_ms,scenario_trial,50,50,0,0,1.0,50,14849.691192,13450.36595,4970.32609700344,23581.403584999996,5820.5771,27615.8867
experiment2,DGA,25,maximum_cumulative_robot_allocator_time_ms,scenario_trial,50,50,0,0,1.0,50,4687.546134,4270.30615,1680.7187175722104,8126.743495,1945.4222,9135.1885
experiment2,DGA,25,allocator_calls_total,scenario_trial,50,50,0,0,1.0,50,100.12,93.5,26.919107848272734,119.55,78.0,252.0
experiment2,DGA,25,maximum_robot_allocator_calls,scenario_trial,50,50,0,0,1.0,50,29.86,25.0,11.714303135875547,47.0,20.0,83.0
experiment2,DGA,25,median_of_robot_call_medians_ms,scenario_trial,50,50,0,0,1.0,50,5.861581,0.177425,18.55265062329546,33.92233374999994,0.1028,113.83125000000001
experiment2,DGA,25,maximum_robot_call_p95_ms,scenario_trial,50,50,0,0,1.0,50,935.781896,960.5998999999999,114.38616265414444,1057.347055,631.3142,1089.2068
experiment2,CBAA,50,cumulative_team_allocator_time_ms,scenario_trial,25,25,0,0,1.0,25,86.97134,87.2509,14.0586951092257,105.11388,64.8377,116.1252
experiment2,CBAA,50,maximum_cumulative_robot_allocator_time_ms,scenario_trial,25,25,0,0,1.0,25,27.0771,25.3062,7.652504319338865,42.608699999999985,18.1626,45.7151
experiment2,CBAA,50,allocator_calls_total,scenario_trial,25,25,0,0,1.0,25,177.44,176.0,26.79253627411933,223.59999999999997,140.0,236.0
experiment2,CBAA,50,maximum_robot_allocator_calls,scenario_trial,25,25,0,0,1.0,25,52.88,51.0,12.6237870704476,78.19999999999997,37.0,89.0
experiment2,CBAA,50,median_of_robot_call_medians_ms,scenario_trial,25,25,0,0,1.0,25,0.268867,0.2672,0.10220480809588493,0.40852999999999995,0.121875,0.42025
experiment2,CBAA,50,maximum_robot_call_p95_ms,scenario_trial,25,25,0,0,1.0,25,1.86928,1.8668,0.20244886597196174,2.2153799999999997,1.5922,2.456
experiment2,ACBBA,50,cumulative_team_allocator_time_ms,scenario_trial,25,25,0,0,1.0,25,258.08234799999997,250.0958,40.56804159043708,320.27464,204.9196,370.6749
experiment2,ACBBA,50,maximum_cumulative_robot_allocator_time_ms,scenario_trial,25,25,0,0,1.0,25,74.028508,71.2,12.280881624158747,93.77335999999998,59.3695,107.4827
experiment2,ACBBA,50,allocator_calls_total,scenario_trial,25,25,0,0,1.0,25,230.0,219.0,55.05830243175562,355.5999999999999,157.0,371.0
experiment2,ACBBA,50,maximum_robot_allocator_calls,scenario_trial,25,25,0,0,1.0,25,70.56,69.0,19.350021533149086,114.39999999999995,46.0,120.0
experiment2,ACBBA,50,median_of_robot_call_medians_ms,scenario_trial,25,25,0,0,1.0,25,0.63412,0.626925,0.05244109195087379,0.70515,0.52305,0.747
experiment2,ACBBA,50,maximum_robot_call_p95_ms,scenario_trial,25,25,0,0,1.0,25,4.644244,4.6784,0.5241423471411815,5.25392,2.9966,5.8962
experiment2,PI,50,cumulative_team_allocator_time_ms,scenario_trial,25,25,0,0,1.0,25,395.139036,395.6526,38.74353878753936,452.25953999999996,311.2498,494.9878
experiment2,PI,50,maximum_cumulative_robot_allocator_time_ms,scenario_trial,25,25,0,0,1.0,25,112.448232,112.9709,13.597874737519339,134.57144,88.4706,147.4792
experiment2,PI,50,allocator_calls_total,scenario_trial,25,25,0,0,1.0,25,221.6,216.0,44.375293426259915,292.5999999999999,151.0,330.0
experiment2,PI,50,maximum_robot_allocator_calls,scenario_trial,25,25,0,0,1.0,25,70.56,70.0,15.332644912082195,93.0,45.0,105.0
experiment2,PI,50,median_of_robot_call_medians_ms,scenario_trial,25,25,0,0,1.0,25,0.9320520000000001,0.9394500000000001,0.20777448072268964,1.3327999999999998,0.6342,1.4003999999999999
experiment2,PI,50,maximum_robot_call_p95_ms,scenario_trial,25,25,0,0,1.0,25,8.568228,8.2804,1.425823879236142,11.047379999999999,6.6559,11.8955
experiment2,HIPC,50,cumulative_team_allocator_time_ms,scenario_trial,25,25,0,0,1.0,25,1033.081796,1023.9481,100.7055799283795,1191.6297399999999,805.6214,1219.4102
experiment2,HIPC,50,maximum_cumulative_robot_allocator_time_ms,scenario_trial,25,25,0,0,1.0,25,300.24080399999997,300.0155,23.773414311517534,330.92946,251.8947,343.593
experiment2,HIPC,50,allocator_calls_total,scenario_trial,25,25,0,0,1.0,25,192.64,183.0,42.0445002348702,242.0,145.0,328.0
experiment2,HIPC,50,maximum_robot_allocator_calls,scenario_trial,25,25,0,0,1.0,25,60.36,59.0,17.846288129468267,83.6,39.0,114.0
