experiment,algorithm,task_load,outcome,unit_of_analysis,terminal_jobs,completed_jobs,mean,median,p95,minimum,maximum
experiment2,PI,5,maximum_robot_call_p95_ms,scenario_trial,50,50,0.888576,0.9008499999999999,1.228,0.5056,1.558
experiment2,PI,10,cumulative_team_allocator_time_ms,scenario_trial,100,100,71.20495700000001,69.49340000000001,123.8256,28.5973,133.1829
experiment2,PI,10,maximum_cumulative_robot_allocator_time_ms,scenario_trial,100,100,29.018443,28.3544,48.96,9.3099,57.0728
experiment2,PI,10,allocator_calls_total,scenario_trial,100,100,132.22,124.5,219.0,42.0,266.0
experiment2,PI,10,maximum_robot_allocator_calls,scenario_trial,100,100,54.37,53.0,89.0,14.0,110.0
experiment2,PI,10,median_of_robot_call_medians_ms,scenario_trial,100,100,0.47015625,0.47238749999999996,0.556475,0.320825,0.611275
experiment2,PI,10,maximum_robot_call_p95_ms,scenario_trial,100,100,1.611817,1.6437,1.9469,0.9843,2.399
experiment2,PI,25,cumulative_team_allocator_time_ms,scenario_trial,50,50,149.91048,146.50465,195.4942,101.0864,214.0925
experiment2,PI,25,maximum_cumulative_robot_allocator_time_ms,scenario_trial,50,50,48.124052,47.01625,72.6205,31.0462,74.3249
experiment2,PI,25,allocator_calls_total,scenario_trial,50,50,143.62,131.0,228.0,87.0,297.0
experiment2,PI,25,maximum_robot_allocator_calls,scenario_trial,50,50,50.1,47.5,82.0,27.0,106.0
experiment2,PI,25,median_of_robot_call_medians_ms,scenario_trial,50,50,0.7499030000000001,0.7616875,0.870175,0.5292250000000001,0.9548000000000001
experiment2,PI,25,maximum_robot_call_p95_ms,scenario_trial,50,50,4.516932,4.6449,5.7011,2.5302,6.777
experiment2,PI,50,cumulative_team_allocator_time_ms,scenario_trial,25,25,395.139036,395.6526,455.3312,311.2498,494.9878
experiment2,PI,50,maximum_cumulative_robot_allocator_time_ms,scenario_trial,25,25,112.448232,112.9709,135.2978,88.4706,147.4792
experiment2,PI,50,allocator_calls_total,scenario_trial,25,25,221.6,216.0,298.0,151.0,330.0
experiment2,PI,50,maximum_robot_allocator_calls,scenario_trial,25,25,70.56,70.0,93.0,45.0,105.0
experiment2,PI,50,median_of_robot_call_medians_ms,scenario_trial,25,25,0.9320520000000001,0.9394500000000001,1.357075,0.6342,1.4003999999999999
experiment2,PI,50,maximum_robot_call_p95_ms,scenario_trial,25,25,8.568228,8.2804,11.158,6.6559,11.8955
