trial_id,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,robot_id,steps_total,steps_after_first_clue,unique_cells_contributed,system_revisits_by_robot,task_cell_replans,path_replans,collision_prevention_events,messages_sent,protected_messages_sent,unprotected_messages_sent,core_messages_sent,allocation_messages_sent,post_clue_messages_sent,messages_sent_by_topic,messages_delivered_to_robot,messages_dropped_to_robot,trial_status,failure_type,failure_message
71,CBAA,gilbert_elliot,pGG_0.96_pBB_0.84,19,361,4,,,cbaa_gilbert_elliott_drop_0_20_rho_0_8,,coverage,03,143,0,94,50,0,0,0,880,146,734,289,591,0,cbaa_entry:591;collision_intent:146;state:143,2147,501,completed,,
72,CBAA,gilbert_elliot,pGG_0.96_pBB_0.84,19,361,4,,,cbaa_gilbert_elliott_drop_0_20_rho_0_8,,coverage,00,144,0,117,28,0,0,0,855,149,706,293,562,0,cbaa_entry:562;collision_intent:149;state:144,2175,478,completed,,
72,CBAA,gilbert_elliot,pGG_0.96_pBB_0.84,19,361,4,,,cbaa_gilbert_elliott_drop_0_20_rho_0_8,,coverage,01,145,0,39,107,0,0,0,889,149,740,294,595,0,cbaa_entry:595;collision_intent:149;state:145,2101,521,completed,,
72,CBAA,gilbert_elliot,pGG_0.96_pBB_0.84,19,361,4,,,cbaa_gilbert_elliott_drop_0_20_rho_0_8,,coverage,02,147,0,96,52,0,0,0,884,147,737,294,590,0,cbaa_entry:590;collision_intent:147;state:147,2185,442,completed,,
72,CBAA,gilbert_elliot,pGG_0.96_pBB_0.84,19,361,4,,,cbaa_gilbert_elliott_drop_0_20_rho_0_8,,coverage,03,147,0,109,39,0,0,0,885,152,733,299,586,0,cbaa_entry:586;collision_intent:152;state:147,2261,362,completed,,
73,CBAA,gilbert_elliot,pGG_0.96_pBB_0.84,19,361,4,,,cbaa_gilbert_elliott_drop_0_20_rho_0_8,,coverage,00,134,0,100,35,0,0,0,836,140,696,274,562,0,cbaa_entry:562;collision_intent:140;state:134,2148,348,completed,,
73,CBAA,gilbert_elliot,pGG_0.96_pBB_0.84,19,361,4,,,cbaa_gilbert_elliott_drop_0_20_rho_0_8,,coverage,01,129,0,68,62,0,0,0,831,136,695,265,566,0,cbaa_entry:566;collision_intent:136;state:129,2150,351,completed,,
73,CBAA,gilbert_elliot,pGG_0.96_pBB_0.84,19,361,4,,,cbaa_gilbert_elliott_drop_0_20_rho_0_8,,coverage,02,134,0,102,33,0,0,0,849,136,713,270,579,0,cbaa_entry:579;collision_intent:136;state:134,2095,386,completed,,
73,CBAA,gilbert_elliot,pGG_0.96_pBB_0.84,19,361,4,,,cbaa_gilbert_elliott_drop_0_20_rho_0_8,,coverage,03,130,0,91,40,0,0,0,818,134,684,264,554,0,cbaa_entry:554;collision_intent:134;state:130,2137,375,completed,,
74,CBAA,gilbert_elliot,pGG_0.96_pBB_0.84,19,361,4,,,cbaa_gilbert_elliott_drop_0_20_rho_0_8,,coverage,00,168,0,125,44,0,0,0,950,176,774,344,606,0,cbaa_entry:606;collision_intent:176;state:168,1814,372,completed,,
74,CBAA,gilbert_elliot,pGG_0.96_pBB_0.84,19,361,4,,,cbaa_gilbert_elliott_drop_0_20_rho_0_8,,coverage,01,75,0,36,40,0,0,0,618,81,537,156,462,0,cbaa_entry:462;collision_intent:81;state:75,2096,422,completed,,
74,CBAA,gilbert_elliot,pGG_0.96_pBB_0.84,19,361,4,,,cbaa_gilbert_elliott_drop_0_20_rho_0_8,,coverage,02,76,0,64,13,0,0,0,635,78,557,154,481,0,cbaa_entry:481;collision_intent:78;state:76,2141,362,completed,,
74,CBAA,gilbert_elliot,pGG_0.96_pBB_0.84,19,361,4,,,cbaa_gilbert_elliott_drop_0_20_rho_0_8,,coverage,03,174,0,136,39,0,0,0,935,180,755,354,581,0,cbaa_entry:581;collision_intent:180;state:174,1873,330,completed,,
75,CBAA,gilbert_elliot,pGG_0.96_pBB_0.84,19,361,4,,,cbaa_gilbert_elliott_drop_0_20_rho_0_8,,coverage,00,138,0,113,26,0,0,0,830,144,686,282,548,0,cbaa_entry:548;collision_intent:144;state:138,2253,347,completed,,
75,CBAA,gilbert_elliot,pGG_0.96_pBB_0.84,19,361,4,,,cbaa_gilbert_elliott_drop_0_20_rho_0_8,,coverage,01,142,0,92,51,0,0,0,862,147,715,289,573,0,cbaa_entry:573;collision_intent:147;state:142,2216,354,completed,,
75,CBAA,gilbert_elliot,pGG_0.96_pBB_0.84,19,361,4,,,cbaa_gilbert_elliott_drop_0_20_rho_0_8,,coverage,02,144,0,68,77,0,0,0,871,147,724,291,580,0,cbaa_entry:580;collision_intent:147;state:144,2142,417,completed,,
75,CBAA,gilbert_elliot,pGG_0.96_pBB_0.84,19,361,4,,,cbaa_gilbert_elliott_drop_0_20_rho_0_8,,coverage,03,139,0,88,52,0,0,0,869,145,724,284,585,0,cbaa_entry:585;collision_intent:145;state:139,2121,442,completed,,
76,CBAA,gilbert_elliot,pGG_0.96_pBB_0.84,19,361,4,,,cbaa_gilbert_elliott_drop_0_20_rho_0_8,,coverage,00,153,0,91,63,0,0,0,901,157,744,310,591,0,cbaa_entry:591;collision_intent:157;state:153,2135,583,completed,,
76,CBAA,gilbert_elliot,pGG_0.96_pBB_0.84,19,361,4,,,cbaa_gilbert_elliott_drop_0_20_rho_0_8,,coverage,01,147,0,63,85,0,0,0,912,153,759,300,612,0,cbaa_entry:612;collision_intent:153;state:147,2116,591,completed,,
76,CBAA,gilbert_elliot,pGG_0.96_pBB_0.84,19,361,4,,,cbaa_gilbert_elliott_drop_0_20_rho_0_8,,coverage,02,155,0,125,31,0,0,0,897,158,739,313,584,0,cbaa_entry:584;collision_intent:158;state:155,2215,509,completed,,
76,CBAA,gilbert_elliot,pGG_0.96_pBB_0.84,19,361,4,,,cbaa_gilbert_elliott_drop_0_20_rho_0_8,,coverage,03,158,0,82,77,0,0,0,913,159,754,317,596,0,cbaa_entry:596;collision_intent:159;state:158,2248,460,completed,,
77,CBAA,gilbert_elliot,pGG_0.96_pBB_0.84,19,361,4,,,cbaa_gilbert_elliott_drop_0_20_rho_0_8,,coverage,00,128,0,99,30,0,0,0,845,132,713,260,585,0,cbaa_entry:585;collision_intent:132;state:128,2065,398,completed,,
77,CBAA,gilbert_elliot,pGG_0.96_pBB_0.84,19,361,4,,,cbaa_gilbert_elliott_drop_0_20_rho_0_8,,coverage,01,124,0,62,63,0,0,0,819,133,686,257,562,0,cbaa_entry:562;collision_intent:133;state:124,2058,431,completed,,
77,CBAA,gilbert_elliot,pGG_0.96_pBB_0.84,19,361,4,,,cbaa_gilbert_elliott_drop_0_20_rho_0_8,,coverage,02,124,0,78,47,0,0,0,823,134,689,258,565,0,cbaa_entry:565;collision_intent:134;state:124,2098,390,completed,,
77,CBAA,gilbert_elliot,pGG_0.96_pBB_0.84,19,361,4,,,cbaa_gilbert_elliott_drop_0_20_rho_0_8,,coverage,03,129,0,122,8,0,0,0,824,129,695,258,566,0,cbaa_entry:566;collision_intent:129;state:129,2155,332,completed,,
78,CBAA,gilbert_elliot,pGG_0.96_pBB_0.84,19,361,4,,,cbaa_gilbert_elliott_drop_0_20_rho_0_8,,coverage,00,133,0,85,49,0,0,0,862,141,721,274,588,0,cbaa_entry:588;collision_intent:141;state:133,2124,454,completed,,
78,CBAA,gilbert_elliot,pGG_0.96_pBB_0.84,19,361,4,,,cbaa_gilbert_elliott_drop_0_20_rho_0_8,,coverage,01,138,0,79,60,0,0,0,864,141,723,279,585,0,cbaa_entry:585;collision_intent:141;state:138,2235,339,completed,,
78,CBAA,gilbert_elliot,pGG_0.96_pBB_0.84,19,361,4,,,cbaa_gilbert_elliott_drop_0_20_rho_0_8,,coverage,02,142,0,74,69,0,0,0,869,144,725,286,583,0,cbaa_entry:583;collision_intent:144;state:142,2124,445,completed,,
78,CBAA,gilbert_elliot,pGG_0.96_pBB_0.84,19,361,4,,,cbaa_gilbert_elliott_drop_0_20_rho_0_8,,coverage,03,142,0,123,20,0,0,0,845,142,703,284,561,0,cbaa_entry:561;collision_intent:142;state:142,2218,377,completed,,
79,CBAA,gilbert_elliot,pGG_0.96_pBB_0.84,19,361,4,,,cbaa_gilbert_elliott_drop_0_20_rho_0_8,,coverage,00,158,0,118,41,0,0,0,922,166,756,324,598,0,cbaa_entry:598;collision_intent:166;state:158,2272,511,completed,,
79,CBAA,gilbert_elliot,pGG_0.96_pBB_0.84,19,361,4,,,cbaa_gilbert_elliott_drop_0_20_rho_0_8,,coverage,01,162,0,98,65,0,0,0,925,164,761,326,599,0,cbaa_entry:599;collision_intent:164;state:162,2348,430,completed,,
79,CBAA,gilbert_elliot,pGG_0.96_pBB_0.84,19,361,4,,,cbaa_gilbert_elliott_drop_0_20_rho_0_8,,coverage,02,155,0,79,77,0,0,0,936,165,771,320,616,0,cbaa_entry:616;collision_intent:165;state:155,2294,473,completed,,
79,CBAA,gilbert_elliot,pGG_0.96_pBB_0.84,19,361,4,,,cbaa_gilbert_elliott_drop_0_20_rho_0_8,,coverage,03,159,0,66,94,0,0,0,922,166,756,325,597,0,cbaa_entry:597;collision_intent:166;state:159,2354,429,completed,,
80,CBAA,gilbert_elliot,pGG_0.96_pBB_0.84,19,361,4,,,cbaa_gilbert_elliott_drop_0_20_rho_0_8,,coverage,00,133,0,104,30,0,0,0,824,138,686,271,553,0,cbaa_entry:553;collision_intent:138;state:133,2131,368,completed,,
80,CBAA,gilbert_elliot,pGG_0.96_pBB_0.84,19,361,4,,,cbaa_gilbert_elliott_drop_0_20_rho_0_8,,coverage,01,131,0,97,35,0,0,0,823,136,687,267,556,0,cbaa_entry:556;collision_intent:136;state:131,2073,430,completed,,
80,CBAA,gilbert_elliot,pGG_0.96_pBB_0.84,19,361,4,,,cbaa_gilbert_elliott_drop_0_20_rho_0_8,,coverage,02,134,0,75,60,0,0,0,835,140,695,274,561,0,cbaa_entry:561;collision_intent:140;state:134,1976,515,completed,,
80,CBAA,gilbert_elliot,pGG_0.96_pBB_0.84,19,361,4,,,cbaa_gilbert_elliott_drop_0_20_rho_0_8,,coverage,03,136,0,85,52,0,0,0,844,138,706,274,570,0,cbaa_entry:570;collision_intent:138;state:136,1948,531,completed,,
81,CBAA,gilbert_elliot,pGG_0.96_pBB_0.84,19,361,4,,,cbaa_gilbert_elliott_drop_0_20_rho_0_8,,coverage,00,58,0,51,8,0,0,0,587,64,523,122,465,0,cbaa_entry:465;collision_intent:64;state:58,2414,462,completed,,
81,CBAA,gilbert_elliot,pGG_0.96_pBB_0.84,19,361,4,,,cbaa_gilbert_elliott_drop_0_20_rho_0_8,,coverage,01,57,0,39,19,0,0,0,601,61,540,118,483,0,cbaa_entry:483;collision_intent:61;state:57,2405,458,completed,,
81,CBAA,gilbert_elliot,pGG_0.96_pBB_0.84,19,361,4,,,cbaa_gilbert_elliott_drop_0_20_rho_0_8,,coverage,02,226,0,161,66,0,0,0,1131,232,899,458,673,0,cbaa_entry:673;collision_intent:232;state:226,1786,547,completed,,
81,CBAA,gilbert_elliot,pGG_0.96_pBB_0.84,19,361,4,,,cbaa_gilbert_elliott_drop_0_20_rho_0_8,,coverage,03,224,0,110,115,0,0,0,1145,226,919,450,695,0,cbaa_entry:695;collision_intent:226;state:224,1895,422,completed,,
