trial_id,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,robot_id,steps_total,steps_after_first_clue,unique_cells_contributed,system_revisits_by_robot,task_cell_replans,path_replans,collision_prevention_events,messages_sent,protected_messages_sent,unprotected_messages_sent,core_messages_sent,allocation_messages_sent,post_clue_messages_sent,messages_sent_by_topic,messages_delivered_to_robot,messages_dropped_to_robot,trial_status
48,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,01,111,0,94,18,0,0,0,327,113,214,224,103,0,collision_intent:113;pi_entry:103;state:111,953,27,completed
48,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,02,116,0,90,27,0,0,0,329,116,213,232,97,0,collision_intent:116;pi_entry:97;state:116,948,30,completed
48,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,03,115,0,68,48,0,0,0,312,117,195,232,80,0,collision_intent:117;pi_clear_path:1;pi_entry:79;state:115,970,25,completed
49,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,00,101,0,91,11,0,0,0,305,106,199,207,98,0,collision_intent:106;pi_entry:98;state:101,857,51,completed
49,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,01,104,0,96,9,0,0,0,308,106,202,210,98,0,collision_intent:106;pi_entry:98;state:104,893,11,completed
49,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,02,101,0,86,16,0,0,0,303,107,196,208,95,0,collision_intent:107;pi_entry:95;state:101,873,37,completed
49,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,03,103,0,88,16,0,0,0,297,104,193,207,90,0,collision_intent:104;pi_entry:90;state:103,886,29,completed
50,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,00,98,0,94,5,0,0,0,297,103,194,201,96,0,collision_intent:103;pi_entry:96;state:98,831,31,completed
50,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,01,94,0,83,12,0,0,0,284,100,184,194,90,0,collision_intent:100;pi_entry:90;state:94,847,28,completed
50,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,02,99,0,92,8,0,0,0,290,100,190,199,91,0,collision_intent:100;pi_entry:91;state:99,858,12,completed
