algorithm,folder,model,label,level,run_id,out_dir
PI,gilbert_elliot_pGG_0_9_pBB_0_1,gilbert_elliot,pGG_0.9_pBB_0.1,0.9,pi_gilbert_elliot_pGG_0_9_pBB_0_1,runs/known_visit_core_500/raw/pi/gilbert_elliot_pGG_0_9_pBB_0_1
PI,gilbert_elliot_pGG_0_95_pBB_0_05,gilbert_elliot,pGG_0.95_pBB_0.05,0.95,pi_gilbert_elliot_pGG_0_95_pBB_0_05,runs/known_visit_core_500/raw/pi/gilbert_elliot_pGG_0_95_pBB_0_05
PI,rayleigh_style_sens_neg32_58,rayleigh_style,sens_-32.58,-32.58,pi_rayleigh_style_sens_neg32_58,runs/known_visit_core_500/raw/pi/rayleigh_style_sens_neg32_58
PI,rayleigh_style_sens_neg37_79,rayleigh_style,sens_-37.79,-37.79,pi_rayleigh_style_sens_neg37_79,runs/known_visit_core_500/raw/pi/rayleigh_style_sens_neg37_79
PI,rayleigh_style_sens_neg42_16,rayleigh_style,sens_-42.16,-42.16,pi_rayleigh_style_sens_neg42_16,runs/known_visit_core_500/raw/pi/rayleigh_style_sens_neg42_16
PI,rayleigh_style_sens_neg46_04,rayleigh_style,sens_-46.04,-46.04,pi_rayleigh_style_sens_neg46_04,runs/known_visit_core_500/raw/pi/rayleigh_style_sens_neg46_04
PI,rayleigh_style_sens_neg49_17,rayleigh_style,sens_-49.17,-49.17,pi_rayleigh_style_sens_neg49_17,runs/known_visit_core_500/raw/pi/rayleigh_style_sens_neg49_17
PI,rayleigh_style_sens_neg52_15,rayleigh_style,sens_-52.15,-52.15,pi_rayleigh_style_sens_neg52_15,runs/known_visit_core_500/raw/pi/rayleigh_style_sens_neg52_15
PI,rayleigh_style_sens_neg56_04,rayleigh_style,sens_-56.04,-56.04,pi_rayleigh_style_sens_neg56_04,runs/known_visit_core_500/raw/pi/rayleigh_style_sens_neg56_04
PI,rayleigh_style_sens_neg59_4,rayleigh_style,sens_-59.4,-59.4,pi_rayleigh_style_sens_neg59_4,runs/known_visit_core_500/raw/pi/rayleigh_style_sens_neg59_4
HIPC,ideal_1_0,ideal,1.0,,hipc_ideal_1_0,runs/known_visit_core_500/raw/hipc/ideal_1_0
HIPC,bernoulli_drop_0_05,bernoulli,drop_0.05,0.05,hipc_bernoulli_drop_0_05,runs/known_visit_core_500/raw/hipc/bernoulli_drop_0_05
HIPC,bernoulli_drop_0_1,bernoulli,drop_0.1,0.1,hipc_bernoulli_drop_0_1,runs/known_visit_core_500/raw/hipc/bernoulli_drop_0_1
HIPC,bernoulli_drop_0_2,bernoulli,drop_0.2,0.2,hipc_bernoulli_drop_0_2,runs/known_visit_core_500/raw/hipc/bernoulli_drop_0_2
HIPC,bernoulli_drop_0_3,bernoulli,drop_0.3,0.3,hipc_bernoulli_drop_0_3,runs/known_visit_core_500/raw/hipc/bernoulli_drop_0_3
HIPC,bernoulli_drop_0_4,bernoulli,drop_0.4,0.4,hipc_bernoulli_drop_0_4,runs/known_visit_core_500/raw/hipc/bernoulli_drop_0_4
HIPC,bernoulli_drop_0_5,bernoulli,drop_0.5,0.5,hipc_bernoulli_drop_0_5,runs/known_visit_core_500/raw/hipc/bernoulli_drop_0_5
