trial_id,logic_revision,study_profile,scenario_file_sha256,scenario_selection_sha256,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,total_team_steps,steps_before_first_clue,post_clue_steps_to_find,unique_cells_searched,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,post_clue_messages_sent_total,post_clue_allocation_messages_sent_total,message_drop_fraction,messages_per_unique_cell,messages_per_post_clue_step,allocation_messages_per_step,allocation_messages_per_post_clue_step,allocation_messages_per_unique_cell,messages_sent_by_topic,max_steps_any_robot,max_messages_any_robot,workload_gini_unique_cells_contributed,trial_status
30,dcta_parity_v1,custom,95fe4e46f3c15da64ab8656605a5093c082d79e6c7f43859e3752dc255ac3760,2e16b45d85197d093ced9da2c3d2ff8f1d35a252c10278fc936bff1dcc2782e6,PI,ideal,1.0,14,196,3,85.0,65.333333,pi_g14_d85_ideal,reruns\grid_density\scenarios\clips\scaling_grid14_trials50.csv,clue_search,9,9,0,12,0,0,0,0,19,38,0,10,9,19,0,0,0,0.0,1.5833333333333333,0.0,0.0,0.0,0.0,collision_intent:9;state:9;target:1,3,7,0.0,completed
31,dcta_parity_v1,custom,95fe4e46f3c15da64ab8656605a5093c082d79e6c7f43859e3752dc255ac3760,2e16b45d85197d093ced9da2c3d2ff8f1d35a252c10278fc936bff1dcc2782e6,PI,ideal,1.0,14,196,3,85.0,65.333333,pi_g14_d85_ideal,reruns\grid_density\scenarios\clips\scaling_grid14_trials50.csv,clue_search,89,21,68,78,14,0,0,0,262,521,0,90,172,188,74,220,74,0.0,3.358974358974359,3.235294117647059,0.8314606741573034,1.088235294117647,0.9487179487179487,clue:9;collision_intent:89;pi_entry:74;state:89;target:1,30,92,0.042735042735042805,completed
32,dcta_parity_v1,custom,95fe4e46f3c15da64ab8656605a5093c082d79e6c7f43859e3752dc255ac3760,2e16b45d85197d093ced9da2c3d2ff8f1d35a252c10278fc936bff1dcc2782e6,PI,ideal,1.0,14,196,3,85.0,65.333333,pi_g14_d85_ideal,reruns\grid_density\scenarios\clips\scaling_grid14_trials50.csv,clue_search,250,12,238,113,140,0,80,80,758,1515,0,331,427,590,168,734,168,0.0,6.707964601769912,3.0840336134453783,0.672,0.7058823529411765,1.4867256637168142,clue:9;collision_intent:330;pi_entry:168;state:250;target:1,95,340,0.4542772861356932,completed
33,dcta_parity_v1,custom,95fe4e46f3c15da64ab8656605a5093c082d79e6c7f43859e3752dc255ac3760,2e16b45d85197d093ced9da2c3d2ff8f1d35a252c10278fc936bff1dcc2782e6,PI,ideal,1.0,14,196,3,85.0,65.333333,pi_g14_d85_ideal,reruns\grid_density\scenarios\clips\scaling_grid14_trials50.csv,clue_search,39,36,3,42,0,0,0,0,88,175,0,40,48,82,6,16,6,0.0,2.0952380952380953,5.333333333333333,0.15384615384615385,2.0,0.14285714285714285,clue:3;collision_intent:39;pi_entry:6;state:39;target:1,13,30,0.0,completed
34,dcta_parity_v1,custom,95fe4e46f3c15da64ab8656605a5093c082d79e6c7f43859e3752dc255ac3760,2e16b45d85197d093ced9da2c3d2ff8f1d35a252c10278fc936bff1dcc2782e6,PI,ideal,1.0,14,196,3,85.0,65.333333,pi_g14_d85_ideal,reruns\grid_density\scenarios\clips\scaling_grid14_trials50.csv,clue_search,51,17,34,52,2,0,1,1,152,301,0,54,98,111,41,118,41,0.0,2.923076923076923,3.4705882352941178,0.803921568627451,1.2058823529411764,0.7884615384615384,clue:6;collision_intent:53;pi_entry:41;state:51;target:1,18,55,0.03846153846153855,completed
35,dcta_parity_v1,custom,95fe4e46f3c15da64ab8656605a5093c082d79e6c7f43859e3752dc255ac3760,2e16b45d85197d093ced9da2c3d2ff8f1d35a252c10278fc936bff1dcc2782e6,PI,ideal,1.0,14,196,3,85.0,65.333333,pi_g14_d85_ideal,reruns\grid_density\scenarios\clips\scaling_grid14_trials50.csv,clue_search,196,31,165,166,33,0,1,1,601,1201,0,199,402,407,194,539,194,0.0,3.6204819277108435,3.2666666666666666,0.9897959183673469,1.1757575757575758,1.1686746987951808,clue:12;collision_intent:198;pi_entry:194;state:196;target:1,66,208,0.052208835341365445,completed
36,dcta_parity_v1,custom,95fe4e46f3c15da64ab8656605a5093c082d79e6c7f43859e3752dc255ac3760,2e16b45d85197d093ced9da2c3d2ff8f1d35a252c10278fc936bff1dcc2782e6,PI,ideal,1.0,14,196,3,85.0,65.333333,pi_g14_d85_ideal,reruns\grid_density\scenarios\clips\scaling_grid14_trials50.csv,clue_search,44,44,0,47,0,0,0,0,90,178,0,46,44,90,0,0,0,0.0,1.9148936170212767,0.0,0.0,0.0,0.0,collision_intent:45;state:44;target:1,15,31,0.014184397163120588,completed
37,dcta_parity_v1,custom,95fe4e46f3c15da64ab8656605a5093c082d79e6c7f43859e3752dc255ac3760,2e16b45d85197d093ced9da2c3d2ff8f1d35a252c10278fc936bff1dcc2782e6,PI,ideal,1.0,14,196,3,85.0,65.333333,pi_g14_d85_ideal,reruns\grid_density\scenarios\clips\scaling_grid14_trials50.csv,clue_search,132,15,117,107,28,0,3,3,409,817,0,136,273,280,129,379,129,0.0,3.822429906542056,3.2393162393162394,0.9772727272727273,1.1025641025641026,1.205607476635514,clue:12;collision_intent:135;pi_entry:129;state:132;target:1,44,148,0.13084112149532712,completed
38,dcta_parity_v1,custom,95fe4e46f3c15da64ab8656605a5093c082d79e6c7f43859e3752dc255ac3760,2e16b45d85197d093ced9da2c3d2ff8f1d35a252c10278fc936bff1dcc2782e6,PI,ideal,1.0,14,196,3,85.0,65.333333,pi_g14_d85_ideal,reruns\grid_density\scenarios\clips\scaling_grid14_trials50.csv,clue_search,78,29,49,74,7,0,0,0,215,428,0,79,136,163,52,156,52,0.0,2.9054054054054053,3.183673469387755,0.6666666666666666,1.0612244897959184,0.7027027027027027,clue:6;collision_intent:78;pi_entry:52;state:78;target:1,26,73,0.027027027027027195,completed
39,dcta_parity_v1,custom,95fe4e46f3c15da64ab8656605a5093c082d79e6c7f43859e3752dc255ac3760,2e16b45d85197d093ced9da2c3d2ff8f1d35a252c10278fc936bff1dcc2782e6,PI,ideal,1.0,14,196,3,85.0,65.333333,pi_g14_d85_ideal,reruns\grid_density\scenarios\clips\scaling_grid14_trials50.csv,clue_search,239,23,216,190,52,1,7,7,738,1473,0,247,491,498,240,692,240,0.0,3.8842105263157896,3.2037037037037037,1.00418410041841,1.1111111111111112,1.263157894736842,clue:12;collision_intent:246;pi_entry:240;state:239;target:1,80,253,0.04912280701754401,completed
40,dcta_parity_v1,custom,95fe4e46f3c15da64ab8656605a5093c082d79e6c7f43859e3752dc255ac3760,2e16b45d85197d093ced9da2c3d2ff8f1d35a252c10278fc936bff1dcc2782e6,PI,ideal,1.0,14,196,3,85.0,65.333333,pi_g14_d85_ideal,reruns\grid_density\scenarios\clips\scaling_grid14_trials50.csv,clue_search,112,112,0,115,0,0,0,0,225,448,0,113,112,225,0,0,0,0.0,1.9565217391304348,0.0,0.0,0.0,0.0,collision_intent:112;state:112;target:1,38,77,0.005797101449275477,completed
