stage,condition_id,grid_size,target_cells_per_robot,robot_count,comm_label,algorithm_key,expected_trials,completed_trials,failed_trials,reported_failures,incomplete_trials,missing_trials,failure_types,failed_trial_ids
grid_known,g34_d50_t10_ideal_dmchba,34,50,24,ideal,dmchba,50,50,0,0,0,0,{},
grid_known,g34_d50_t10_ideal_hipc,34,50,24,ideal,hipc,50,38,12,12,0,0,"{""RuntimeError"": 12}",6 9 23 24 25 26 33 36 40 42 46 47
grid_known,g34_d50_t10_ideal_pi,34,50,24,ideal,pi,50,35,15,15,0,0,"{""RuntimeError"": 15}",3 13 14 17 20 23 25 27 30 33 34 35 37 40 41
grid_known,g34_d50_t10_ideal_dga,34,50,24,ideal,dga,50,50,0,0,0,0,{},
grid_known,g34_d50_t10_bernoulli_025_cbaa,34,50,24,bernoulli_025,cbaa,50,50,0,0,0,0,{},
grid_known,g34_d50_t10_bernoulli_025_acbba,34,50,24,bernoulli_025,acbba,50,50,0,0,0,0,{},
grid_known,g34_d50_t10_bernoulli_025_dmchba,34,50,24,bernoulli_025,dmchba,50,49,1,1,0,0,"{""RuntimeError"": 1}",12
grid_known,g34_d50_t10_bernoulli_025_hipc,34,50,24,bernoulli_025,hipc,50,34,16,16,0,0,"{""RuntimeError"": 16}",9 11 12 13 14 15 17 25 26 27 31 32 33 34 36 39
grid_known,g34_d50_t10_bernoulli_025_pi,34,50,24,bernoulli_025,pi,50,42,8,8,0,0,"{""RuntimeError"": 8}",1 5 11 14 24 34 46 49
grid_known,g34_d50_t10_bernoulli_025_dga,34,50,24,bernoulli_025,dga,50,49,1,1,0,0,"{""RuntimeError"": 1}",21
