trial_id,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,target_x,target_y,clue_locations,first_clue_robot,first_clue_x,first_clue_y,robot_start_locations,robot_end_locations,clues_detected_by_robot,target_found_by_robot,trial_status,communication_condition,source_out_dir,failure_type,failure_message
64,PI,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,pi_gilbert_elliott_drop_0_50_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(6,8);01:(18,15);02:(11,14);03:(18,18)",00:0;01:0;02:0;03:0,,completed,gilbert_elliott_drop_0_50_rho_0_8,runs/coverage_core_100_ge_bursty_rho08/raw/pi/gilbert_elliott_drop_0_50_rho_0_8,,
65,PI,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,pi_gilbert_elliott_drop_0_50_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(17,18);01:(8,12);02:(17,0);03:(8,11)",00:0;01:0;02:0;03:0,,completed,gilbert_elliott_drop_0_50_rho_0_8,runs/coverage_core_100_ge_bursty_rho08/raw/pi/gilbert_elliott_drop_0_50_rho_0_8,,
66,PI,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,pi_gilbert_elliott_drop_0_50_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(18,18);01:(6,11);02:(18,13);03:(6,12)",00:0;01:0;02:0;03:0,,completed,gilbert_elliott_drop_0_50_rho_0_8,runs/coverage_core_100_ge_bursty_rho08/raw/pi/gilbert_elliott_drop_0_50_rho_0_8,,
67,PI,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,pi_gilbert_elliott_drop_0_50_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(18,18);01:(12,18);02:(14,7);03:(18,11)",00:0;01:0;02:0;03:0,,completed,gilbert_elliott_drop_0_50_rho_0_8,runs/coverage_core_100_ge_bursty_rho08/raw/pi/gilbert_elliott_drop_0_50_rho_0_8,,
68,PI,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,pi_gilbert_elliott_drop_0_50_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(0,2);01:(0,3);02:(18,8);03:(18,4)",00:0;01:0;02:0;03:0,,completed,gilbert_elliott_drop_0_50_rho_0_8,runs/coverage_core_100_ge_bursty_rho08/raw/pi/gilbert_elliott_drop_0_50_rho_0_8,,
69,PI,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,pi_gilbert_elliott_drop_0_50_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(0,3);01:(0,4);02:(17,16);03:(18,18)",00:0;01:0;02:0;03:0,,completed,gilbert_elliott_drop_0_50_rho_0_8,runs/coverage_core_100_ge_bursty_rho08/raw/pi/gilbert_elliott_drop_0_50_rho_0_8,,
70,PI,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,pi_gilbert_elliott_drop_0_50_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)",,,,failed,gilbert_elliott_drop_0_50_rho_0_8,runs/coverage_core_100_ge_bursty_rho08/raw/pi/gilbert_elliott_drop_0_50_rho_0_8,RuntimeError,Debug safety cap reached in trial 70. This usually means the allocator is stuck or returning no reachable goals.
71,PI,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,pi_gilbert_elliott_drop_0_50_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(18,15);01:(18,16);02:(6,0);03:(6,1)",00:0;01:0;02:0;03:0,,completed,gilbert_elliott_drop_0_50_rho_0_8,runs/coverage_core_100_ge_bursty_rho08/raw/pi/gilbert_elliott_drop_0_50_rho_0_8,,
72,PI,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,pi_gilbert_elliott_drop_0_50_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(1,14);01:(1,15);02:(18,18);03:(16,2)",00:0;01:0;02:0;03:0,,completed,gilbert_elliott_drop_0_50_rho_0_8,runs/coverage_core_100_ge_bursty_rho08/raw/pi/gilbert_elliott_drop_0_50_rho_0_8,,
73,PI,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,pi_gilbert_elliott_drop_0_50_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(0,2);01:(0,3);02:(18,12);03:(17,12)",00:0;01:0;02:0;03:0,,completed,gilbert_elliott_drop_0_50_rho_0_8,runs/coverage_core_100_ge_bursty_rho08/raw/pi/gilbert_elliott_drop_0_50_rho_0_8,,
