trial_id,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,total_team_steps,steps_before_first_clue,post_clue_steps_to_find,unique_cells_searched,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,post_clue_messages_sent_total,post_clue_allocation_messages_sent_total,message_drop_fraction,messages_per_unique_cell,messages_per_post_clue_step,allocation_messages_per_step,allocation_messages_per_post_clue_step,allocation_messages_per_unique_cell,messages_sent_by_topic,max_steps_any_robot,max_messages_any_robot,workload_gini_unique_cells_contributed,trial_status,failure_type,failure_message,debug_max_events
49,HIPC,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,hipc_gilbert_elliott_drop_0_30_rho_0_8,,coverage,593,593,0,361,236,0,0,0,2722,6338,1826,609,2113,1202,1520,0,0,0.2881489663878807,7.54016620498615,0.0,2.563237774030354,0.0,4.2105263157894735,collision_intent:609;hipc_entry:1520;state:593,152,708,0.032548476454293596,completed,,,
50,HIPC,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,hipc_gilbert_elliott_drop_0_30_rho_0_8,,coverage,575,575,0,361,218,0,0,0,2605,6244,1571,588,2017,1163,1442,0,0,0.2596265080152041,7.21606648199446,0.0,2.5078260869565216,0.0,3.994459833795014,collision_intent:588;hipc_entry:1442;state:575,148,676,0.1641274238227146,completed,,,
51,HIPC,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,hipc_gilbert_elliott_drop_0_30_rho_0_8,,coverage,850,850,0,361,493,0,0,0,3506,8056,2460,859,2647,1709,1797,0,0,0.3098627031112231,9.71191135734072,0.0,2.1141176470588237,0.0,4.977839335180056,collision_intent:859;hipc_entry:1797;state:850,216,919,0.16689750692520766,completed,,,
52,HIPC,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,hipc_gilbert_elliott_drop_0_30_rho_0_8,,coverage,700,700,0,361,343,0,0,0,3098,7067,2226,709,2389,1409,1689,0,0,0.3106335473067262,8.581717451523545,0.0,2.412857142857143,0.0,4.678670360110804,collision_intent:709;hipc_entry:1689;state:700,178,817,0.12119113573407203,completed,,,
53,HIPC,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,hipc_gilbert_elliott_drop_0_30_rho_0_8,,coverage,642,642,0,361,285,0,0,0,2869,6646,1959,655,2214,1297,1572,0,0,0.2950301204819277,7.947368421052632,0.0,2.4485981308411215,0.0,4.354570637119114,collision_intent:655;hipc_entry:1572;state:642,164,736,0.08933518005540164,completed,,,
54,HIPC,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,hipc_gilbert_elliott_drop_0_30_rho_0_8,,coverage,582,582,0,361,225,0,0,0,2659,6194,1782,586,2073,1168,1491,0,0,0.28658732711482793,7.365650969529086,0.0,2.5618556701030926,0.0,4.130193905817174,collision_intent:586;hipc_entry:1491;state:582,146,686,0.13919667590027696,completed,,,
55,HIPC,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,hipc_gilbert_elliott_drop_0_30_rho_0_8,,coverage,600,600,0,361,243,0,0,0,2751,6129,2122,614,2137,1214,1537,0,0,0.3310968949914183,7.620498614958449,0.0,2.5616666666666665,0.0,4.257617728531856,collision_intent:614;hipc_clear_bundle:1;hipc_entry:1536;state:600,152,717,0.11011080332409962,completed,,,
56,HIPC,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,hipc_gilbert_elliott_drop_0_30_rho_0_8,,coverage,619,619,0,361,262,0,0,0,2749,6379,1862,631,2118,1250,1499,0,0,0.29318217603527,7.6149584487534625,0.0,2.4216478190630046,0.0,4.152354570637119,collision_intent:631;hipc_clear_bundle:1;hipc_entry:1498;state:619,157,721,0.07963988919667586,completed,,,
57,HIPC,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,hipc_gilbert_elliott_drop_0_30_rho_0_8,,coverage,577,577,0,361,220,0,0,0,2629,6154,1730,596,2033,1173,1456,0,0,0.28379265091863515,7.282548476454294,0.0,2.5233968804159446,0.0,4.033240997229917,collision_intent:596;hipc_clear_bundle:1;hipc_entry:1455;state:577,148,665,0.06994459833795008,completed,,,
58,HIPC,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,hipc_gilbert_elliott_drop_0_30_rho_0_8,,coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,failed,RuntimeError,Debug safety cap reached in trial 58. This usually means the allocator is stuck or returning no reachable goals.,100000
