mission,scenario,comm_model,comm_label,degradation_pct,metric,algorithm,attempted_trial_n,six_way_paired_n,eligible_n,mean,median,sd,ci95_low,ci95_high,source_column,scope,ci_method,panel_model
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,gilbert_elliott_drop_0_10_rho_0_8,10,total_team_steps,ACBBA,500,385,385,207.545454545455,182,125.502090106947,194.96953754181,220.1213715491,total_team_steps,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,gilbert_elliott
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,gilbert_elliott_drop_0_10_rho_0_8,10,total_team_steps,PI,500,385,385,218.444155844156,194,131.594953928145,205.257704389135,231.630607299176,total_team_steps,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,gilbert_elliott
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,gilbert_elliott_drop_0_10_rho_0_8,10,total_team_steps,HIPC,500,385,385,218.090909090909,192,132.840147300613,204.779683231795,231.402134950023,total_team_steps,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,gilbert_elliott
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,gilbert_elliott_drop_0_10_rho_0_8,10,total_team_steps,DMCHBA,500,385,385,207.288311688312,190,117.883869821402,195.475777238255,219.100846138369,total_team_steps,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,gilbert_elliott
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,gilbert_elliott_drop_0_10_rho_0_8,10,total_team_steps,DGA,500,385,385,230.646753246753,215,134.058366859768,217.213455890223,244.080050603283,total_team_steps,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,gilbert_elliott
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,gilbert_elliott_drop_0_20_rho_0_8,20,total_team_steps,CBAA,500,384,384,236.763020833333,212.5,146.898905175514,222.02376352416,251.502278142506,total_team_steps,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,gilbert_elliott
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,gilbert_elliott_drop_0_20_rho_0_8,20,total_team_steps,ACBBA,500,384,384,228.223958333333,192,146.101602219948,213.564699261053,242.883217405614,total_team_steps,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,gilbert_elliott
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,gilbert_elliott_drop_0_20_rho_0_8,20,total_team_steps,PI,500,384,384,238.364583333333,215,149.590956275116,223.355216224506,253.373950442161,total_team_steps,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,gilbert_elliott
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,gilbert_elliott_drop_0_20_rho_0_8,20,total_team_steps,HIPC,500,384,384,235.635416666667,204.5,149.860152026351,220.599039516891,250.671793816442,total_team_steps,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,gilbert_elliott
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,gilbert_elliott_drop_0_20_rho_0_8,20,total_team_steps,DMCHBA,500,384,384,217.09375,200.5,126.784727657166,204.372670005703,229.814829994297,total_team_steps,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,gilbert_elliott
