mission,scenario,comm_model,comm_label,degradation_pct,metric_max_steps,algorithm,attempted_trial_n_max_steps,six_way_paired_n_max_steps,eligible_n_max_steps,mean_max_steps,median_max_steps,sd_max_steps,ci95_low_max_steps,ci95_high_max_steps,source_column_max_steps,scope_max_steps,ci_method_max_steps,metric_message_rate,attempted_trial_n_message_rate,six_way_paired_n_message_rate,eligible_n_message_rate,mean_message_rate,median_message_rate,sd_message_rate,ci95_low_message_rate,ci95_high_message_rate,source_column_message_rate,scope_message_rate,ci_method_message_rate,panel_model
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_5,50,max_agent_steps,CBAA,500,386,386,75.160621761658,63.5,51.4667978068922,70.0101264303064,80.3111170930097,max_steps_any_robot (CLIPS/FGS) or max_robot_steps (CV),six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,team_messages_per_step,500,386,386,3.88296890318211,4.09152963077878,0.913115741946568,3.79158963409439,3.97434817226984,messages_sent_total / total_team_steps (publications per team step),six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,bernoulli
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_5,50,max_agent_steps,ACBBA,500,386,386,69.380829015544,60,46.4733695042352,64.7300467080485,74.0316113230396,max_steps_any_robot (CLIPS/FGS) or max_robot_steps (CV),six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,team_messages_per_step,500,386,386,9.40849257052668,10.1711925287356,3.64092257174322,9.04413038934072,9.77285475171265,messages_sent_total / total_team_steps (publications per team step),six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,bernoulli
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_5,50,max_agent_steps,PI,500,386,386,73.7901554404145,60,54.2472454885283,68.3614092091901,79.2189016716389,max_steps_any_robot (CLIPS/FGS) or max_robot_steps (CV),six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,team_messages_per_step,500,386,386,3.31095761365081,3.45298586158413,0.566996864118233,3.25421589226979,3.36769933503183,messages_sent_total / total_team_steps (publications per team step),six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,bernoulli
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_5,50,max_agent_steps,HIPC,500,386,386,75.0699481865285,66,53.4386190281305,69.7221245498031,80.4177718232539,max_steps_any_robot (CLIPS/FGS) or max_robot_steps (CV),six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,team_messages_per_step,500,386,386,4.19868474513303,4.36774043977807,0.963301676692041,4.10228316197837,4.2950863282877,messages_sent_total / total_team_steps (publications per team step),six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,bernoulli
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_5,50,max_agent_steps,DMCHBA,500,386,386,60.339378238342,52,39.2932544837418,56.4071397390386,64.2716167376454,max_steps_any_robot (CLIPS/FGS) or max_robot_steps (CV),six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,team_messages_per_step,500,386,386,2.05966663644222,2.04697986577181,0.0423263583326431,2.05543086269536,2.06390241018908,messages_sent_total / total_team_steps (publications per team step),six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,bernoulli
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_5,50,max_agent_steps,DGA,500,386,386,70.8471502590674,54.5,50.8429203557333,65.759088924709,75.9352115934257,max_steps_any_robot (CLIPS/FGS) or max_robot_steps (CV),six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,team_messages_per_step,500,386,386,2.86594367636763,2.77681449118718,0.486580858852376,2.81724951724688,2.91463783548838,messages_sent_total / total_team_steps (publications per team step),six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,bernoulli
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_6,60,max_agent_steps,CBAA,500,386,386,73.1943005181347,60,52.7487656644195,67.9155133608585,78.473087675411,max_steps_any_robot (CLIPS/FGS) or max_robot_steps (CV),six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,team_messages_per_step,500,386,386,3.53683576123786,3.57927978883861,0.852928276486764,3.45147970076357,3.62219182171214,messages_sent_total / total_team_steps (publications per team step),six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,bernoulli
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_6,60,max_agent_steps,ACBBA,500,386,386,71.8523316062176,58,51.254206869507,66.7231111292798,76.9815520831554,max_steps_any_robot (CLIPS/FGS) or max_robot_steps (CV),six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,team_messages_per_step,500,386,386,8.08015949665302,8.27252850226456,3.25964214415845,7.75395362489161,8.40636536841442,messages_sent_total / total_team_steps (publications per team step),six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,bernoulli
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_6,60,max_agent_steps,PI,500,386,386,75.2150259067357,61,56.0757176619081,69.6032969022712,80.8267549112003,max_steps_any_robot (CLIPS/FGS) or max_robot_steps (CV),six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,team_messages_per_step,500,386,386,3.21429403484167,3.29190042075736,0.575003307077016,3.15675107559785,3.27183699408549,messages_sent_total / total_team_steps (publications per team step),six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,bernoulli
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_6,60,max_agent_steps,HIPC,500,386,386,74.4715025906736,61.5,54.6006561619984,69.0073890915926,79.9356160897545,max_steps_any_robot (CLIPS/FGS) or max_robot_steps (CV),six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,team_messages_per_step,500,386,386,4.00112101063419,4.15575327127426,1.00590991341783,3.90045544499597,4.10178657627242,messages_sent_total / total_team_steps (publications per team step),six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,bernoulli
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_6,60,max_agent_steps,DMCHBA,500,386,386,60.7461139896373,50,41.1028206815126,56.632784716271,64.8594432630036,max_steps_any_robot (CLIPS/FGS) or max_robot_steps (CV),six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,team_messages_per_step,500,386,386,2.05294341587457,2.04006172839506,0.040306007075573,2.0489098270345,2.05697700471464,messages_sent_total / total_team_steps (publications per team step),six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,bernoulli
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_6,60,max_agent_steps,DGA,500,386,386,70.6502590673575,56,51.210890303206,65.5253734583736,75.7751446763414,max_steps_any_robot (CLIPS/FGS) or max_robot_steps (CV),six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,team_messages_per_step,500,386,386,2.77220440213292,2.69832049344794,0.444424987369978,2.72772895543476,2.81667984883107,messages_sent_total / total_team_steps (publications per team step),six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,bernoulli
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_7,70,max_agent_steps,CBAA,500,385,385,75.7792207792208,59,57.2188833233071,70.0456116648071,81.5128298936345,max_steps_any_robot (CLIPS/FGS) or max_robot_steps (CV),six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,team_messages_per_step,500,385,385,3.29453466788885,3.31506849315068,0.794278764038087,3.21494409050652,3.37412524527118,messages_sent_total / total_team_steps (publications per team step),six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,bernoulli
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_7,70,max_agent_steps,ACBBA,500,385,385,75.7532467532468,59,58.0843396861399,69.9329147214698,81.5735787850237,max_steps_any_robot (CLIPS/FGS) or max_robot_steps (CV),six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,team_messages_per_step,500,385,385,7.16901306831223,7.29807692307692,3.03603214071589,6.86478794991376,7.4732381867107,messages_sent_total / total_team_steps (publications per team step),six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,bernoulli
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_7,70,max_agent_steps,PI,500,385,385,77.6077922077922,63,59.8673833147625,71.6087905724387,83.6067938431457,max_steps_any_robot (CLIPS/FGS) or max_robot_steps (CV),six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,team_messages_per_step,500,385,385,3.14637227202626,3.19727891156463,0.599434113836997,3.08630607186701,3.2064384721855,messages_sent_total / total_team_steps (publications per team step),six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,bernoulli
