trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,duplicate_target_visits,target_conflicts,task_cell_revisits_total,total_team_steps,max_robot_steps,unique_cells_visited,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,events_processed,stall_recoveries_total,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,message_drop_fraction,messages_per_completed_target,allocation_messages_per_completed_target,messages_sent_by_topic,workload_gini_targets_found,workload_gini_unique_cells_contributed,benchmark_suite,num_targets,num_robots,commitment_horizon
0,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,59.148064066343714,59.148064066343714,3,3,3,115,34,103,16,10,3,3,331,0,634,1803,96,124,510,243,391,0.06286836935166994,63.4,39.1,acbba_entry:391;collision_intent:124;state:119,0.10000000000000009,0.14320388349514568,known_visit_core_500,10,4,8
67,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,47.721802108898544,47.721802108898544,0,0,0,86,27,89,1,10,1,1,274,0,568,1618,84,97,471,187,381,0.059532246633593196,56.8,38.1,acbba_entry:381;collision_intent:97;state:90,0.25,0.0870786516853932,known_visit_core_500,10,4,8
68,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,34.30653875123465,34.30653875123465,0,0,0,56,20,60,0,2,0,0,207,0,355,1027,35,61,294,121,234,0.03981797497155859,35.5,23.4,acbba_entry:234;collision_intent:61;state:60,0.25,0.17500000000000004,known_visit_core_500,10,4,8
69,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,29.770296498168427,29.770296498168427,1,1,1,58,18,59,3,6,0,0,169,0,383,1111,35,63,320,125,258,0.03657262277951933,38.3,25.8,acbba_entry:258;collision_intent:63;state:62,0.3500000000000001,0.17372881355932202,known_visit_core_500,10,4,8
70,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,57.78110347648078,57.78110347648078,3,3,3,83,25,84,3,2,1,1,356,0,380,1089,49,89,291,176,204,0.05625717566016074,38.0,20.4,acbba_entry:204;collision_intent:89;state:87,0.1499999999999999,0.08333333333333326,known_visit_core_500,10,4,8
71,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,58.31477163909762,58.31477163909762,0,0,0,92,28,95,1,7,0,0,349,0,523,1514,52,98,425,194,329,0.040880503144654086,52.3,32.9,acbba_entry:329;collision_intent:98;state:96,0.25,0.08684210526315783,known_visit_core_500,10,4,8
72,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,37.34335043543248,37.34335043543248,0,0,0,76,22,80,0,7,1,1,212,0,479,1380,54,79,400,159,320,0.045112781954887216,47.9,32.0,acbba_entry:320;collision_intent:79;state:80,0.30000000000000004,0.11250000000000004,known_visit_core_500,10,4,8
73,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,52.772764549402034,52.772764549402034,0,0,0,55,31,56,3,4,0,0,355,0,345,994,38,58,287,117,228,0.04428904428904429,34.5,22.8,acbba_entry:228;collision_intent:58;state:59,0.3500000000000001,0.3214285714285714,known_visit_core_500,10,4,8
74,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,60.47224771518151,60.47224771518151,1,1,1,76,35,79,1,4,0,0,391,0,475,1374,48,83,392,163,312,0.04092071611253197,47.5,31.2,acbba_entry:312;collision_intent:83;state:80,0.30000000000000004,0.22468354430379756,known_visit_core_500,10,4,8
75,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,32.155585197428955,32.155585197428955,0,0,0,64,19,65,3,17,0,0,180,0,525,1492,81,69,456,137,388,0.05929721815519766,52.5,38.8,acbba_entry:388;collision_intent:69;state:68,0.3500000000000001,0.11153846153846159,known_visit_core_500,10,4,8
76,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,65.58072263242859,65.58072263242859,1,1,1,104,38,104,4,3,4,4,399,0,513,1481,55,113,400,221,292,0.04594820384294068,51.3,29.2,acbba_entry:292;collision_intent:113;state:108,0.1499999999999999,0.21634615384615374,known_visit_core_500,10,4,8
77,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,83.62146932239301,83.62146932239301,0,0,0,73,47,75,2,3,0,0,579,0,414,1179,60,78,336,155,259,0.05970149253731343,41.4,25.9,acbba_entry:259;collision_intent:78;state:77,0.6000000000000001,0.3766666666666667,known_visit_core_500,10,4,8
78,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,55.316907430063814,55.316907430063814,1,1,1,79,25,78,5,12,4,2,338,0,545,1568,64,88,457,171,374,0.04678362573099415,54.5,37.4,acbba_entry:374;collision_intent:88;state:83,0.1499999999999999,0.16666666666666674,known_visit_core_500,10,4,8
79,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,58.42943649612014,58.42943649612014,0,0,0,56,34,60,0,1,0,0,398,0,331,952,38,59,272,119,212,0.046740467404674045,33.1,21.2,acbba_entry:212;collision_intent:59;state:60,0.3999999999999999,0.375,known_visit_core_500,10,4,8
80,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,53.19945741118278,53.19945741118278,1,1,1,98,31,89,13,4,1,1,301,0,476,1376,49,105,371,207,269,0.044144144144144144,47.6,26.9,acbba_entry:269;collision_intent:105;state:102,0.25,0.2219101123595506,known_visit_core_500,10,4,8
81,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,40.809233595439096,40.809233595439096,0,0,0,72,23,75,1,6,0,0,235,0,484,1391,58,76,408,152,332,0.0475020475020475,48.4,33.2,acbba_entry:332;collision_intent:76;state:76,0.3500000000000001,0.1299999999999999,known_visit_core_500,10,4,8
82,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,48.007886121014295,48.007886121014295,0,0,0,66,28,70,0,8,0,0,298,0,507,1451,67,71,436,141,366,0.05134099616858238,50.7,36.6,acbba_entry:366;collision_intent:71;state:70,0.30000000000000004,0.20714285714285707,known_visit_core_500,10,4,8
83,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,46.75962221496539,46.75962221496539,1,1,1,81,27,83,2,10,0,0,273,0,578,1664,68,85,493,170,408,0.046039268788083954,57.8,40.8,acbba_entry:408;collision_intent:85;state:85,0.25,0.1837349397590362,known_visit_core_500,10,4,8
84,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,56.85652090675682,56.85652090675682,0,0,0,67,33,71,0,3,0,0,372,0,384,1097,52,71,313,142,242,0.05555555555555555,38.4,24.2,acbba_entry:242;collision_intent:71;state:71,0.3999999999999999,0.2359154929577465,known_visit_core_500,10,4,8
85,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,197.8216723081705,197.8216723081705,2,2,2,101,38,96,9,6,93,1,1317,3,662,1897,86,114,548,219,443,0.05240706886045095,66.2,44.3,acbba_entry:443;collision_intent:114;state:105,0.25,0.28125,known_visit_core_500,10,4,8
86,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,48.06715505912132,48.06715505912132,2,2,2,79,28,77,6,11,0,0,284,0,484,1377,72,86,398,169,315,0.060453400503778336,48.4,31.5,acbba_entry:315;collision_intent:86;state:83,0.1499999999999999,0.17207792207792205,known_visit_core_500,10,4,8
87,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,61.709813996271656,61.709813996271656,1,1,1,83,27,84,3,12,0,0,391,0,493,1419,55,91,402,178,315,0.04579517069109076,49.3,31.5,acbba_entry:315;collision_intent:91;state:87,0.10000000000000009,0.10119047619047628,known_visit_core_500,10,4,8
88,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,59.657796579674184,59.657796579674184,1,1,1,83,30,83,4,7,0,0,373,0,569,1638,67,96,473,183,386,0.04728299223712068,56.9,38.6,acbba_entry:386;collision_intent:96;state:87,0.3999999999999999,0.1837349397590362,known_visit_core_500,10,4,8
89,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,48.01452661708467,48.01452661708467,3,3,3,96,28,90,10,11,0,0,263,0,641,1846,74,104,537,204,437,0.046019900497512436,64.1,43.7,acbba_entry:437;collision_intent:104;state:100,0.25,0.03888888888888897,known_visit_core_500,10,4,8
90,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,69.54890043385488,69.54890043385488,1,1,1,76,40,77,3,2,0,0,461,0,372,1075,38,82,290,162,210,0.04382929642445214,37.2,21.0,acbba_entry:210;collision_intent:82;state:80,0.55,0.41233766233766245,known_visit_core_500,10,4,8
91,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,57.023443992299974,57.023443992299974,1,1,1,70,34,71,3,3,0,0,366,0,326,939,36,75,251,149,177,0.048,32.6,17.7,acbba_entry:177;collision_intent:75;state:74,0.3500000000000001,0.32746478873239426,known_visit_core_500,10,4,8
92,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,100.87325868341382,100.87325868341382,2,2,2,120,58,113,11,12,2,2,654,0,694,1993,87,128,566,252,442,0.05129716981132076,69.4,44.2,acbba_entry:442;collision_intent:128;state:124,0.30000000000000004,0.23672566371681425,known_visit_core_500,10,4,8
93,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,38.83850041987081,38.83850041987081,0,0,0,75,22,79,0,8,0,0,223,0,497,1420,68,81,416,160,337,0.05461847389558233,49.7,33.7,acbba_entry:337;collision_intent:81;state:79,0.10000000000000009,0.09177215189873422,known_visit_core_500,10,4,8
94,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,42.25027908045285,42.25027908045285,2,2,2,81,24,77,8,4,4,2,234,0,627,1800,78,93,534,178,449,0.04878048780487805,62.7,44.9,acbba_entry:449;collision_intent:93;state:85,0.30000000000000004,0.08116883116883122,known_visit_core_500,10,4,8
95,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,56.53775931502831,56.53775931502831,2,2,2,85,27,86,3,13,0,0,342,0,493,1421,56,92,401,181,312,0.0466278101582015,49.3,31.2,acbba_entry:312;collision_intent:92;state:89,0.30000000000000004,0.12790697674418605,known_visit_core_500,10,4,8
96,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,56.71567324651602,56.71567324651602,1,1,1,67,29,70,1,1,24,1,347,0,343,996,30,74,269,145,198,0.03731343283582089,34.3,19.8,acbba_entry:198;collision_intent:74;state:71,0.25,0.2857142857142858,known_visit_core_500,10,4,8
97,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,51.00844409771476,51.00844409771476,2,2,2,85,24,83,6,13,0,0,304,0,587,1693,66,94,493,183,404,0.04468517264725796,58.7,40.4,acbba_entry:404;collision_intent:94;state:89,0.3500000000000001,0.06325301204819267,known_visit_core_500,10,4,8
98,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,51.61340245188038,51.61340245188038,0,0,0,74,30,78,0,10,0,0,319,0,531,1528,62,83,448,161,370,0.04623415361670395,53.1,37.0,acbba_entry:370;collision_intent:83;state:78,0.30000000000000004,0.15384615384615374,known_visit_core_500,10,4,8
99,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,57.657023360609266,57.657023360609266,2,2,2,89,32,87,6,4,3,1,346,0,531,1520,70,102,429,195,336,0.05451713395638629,53.1,33.6,acbba_entry:336;collision_intent:102;state:93,0.1499999999999999,0.1293103448275863,known_visit_core_500,10,4,8
100,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,52.7649257591497,52.7649257591497,1,1,1,88,29,85,7,15,0,0,310,0,562,1607,76,96,466,188,374,0.05448028673835126,56.2,37.4,acbba_entry:374;collision_intent:96;state:92,0.3500000000000001,0.19117647058823528,known_visit_core_500,10,4,8
101,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,66.99280882698234,66.99280882698234,1,1,1,83,35,85,2,3,0,0,428,0,459,1324,50,91,368,178,281,0.045413260672116255,45.9,28.1,acbba_entry:281;collision_intent:91;state:87,0.25,0.30294117647058827,known_visit_core_500,10,4,8
102,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,65.2279809708295,65.2279809708295,3,3,3,90,36,83,11,5,0,0,407,0,521,1498,62,98,423,192,329,0.04897314375987362,52.1,32.9,acbba_entry:329;collision_intent:98;state:94,0.25,0.17771084337349397,known_visit_core_500,10,4,8
103,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,27.844455624956677,27.844455624956677,0,0,0,57,17,61,0,11,0,0,152,0,454,1306,53,64,390,125,329,0.04541559554413025,45.4,32.9,acbba_entry:329;collision_intent:64;state:61,0.30000000000000004,0.07786885245901631,known_visit_core_500,10,4,8
104,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,46.764650023290635,46.764650023290635,2,2,2,78,27,73,9,11,0,0,281,0,478,1365,64,85,393,167,311,0.05442176870748299,47.8,31.1,acbba_entry:311;collision_intent:85;state:82,0.30000000000000004,0.16780821917808209,known_visit_core_500,10,4,8
105,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,46.86530031391963,46.86530031391963,0,0,0,78,28,81,1,12,0,0,277,0,541,1534,86,84,457,166,375,0.06286549707602339,54.1,37.5,acbba_entry:375;collision_intent:84;state:82,0.10000000000000009,0.13271604938271597,known_visit_core_500,10,4,8
106,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,55.30833972140633,55.30833972140633,2,2,2,94,32,93,5,9,0,0,321,0,533,1523,73,100,433,198,335,0.05632716049382716,53.3,33.5,acbba_entry:335;collision_intent:100;state:98,0.5,0.185483870967742,known_visit_core_500,10,4,8
107,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,90.20220577420993,90.20220577420993,0,0,0,65,37,65,4,1,0,0,641,0,366,1053,42,71,295,140,226,0.047619047619047616,36.6,22.6,acbba_entry:226;collision_intent:71;state:69,0.44999999999999996,0.4346153846153846,known_visit_core_500,10,4,8
108,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,40.70561820137306,40.70561820137306,0,0,0,66,20,70,0,4,0,0,245,0,451,1290,60,72,379,142,309,0.05291005291005291,45.1,30.9,acbba_entry:309;collision_intent:72;state:70,0.1499999999999999,0.1071428571428572,known_visit_core_500,10,4,8
109,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,67.0048624146431,67.0048624146431,2,2,2,90,39,89,5,4,0,0,425,0,569,1625,79,95,474,189,380,0.05567300916138125,56.9,38.0,acbba_entry:380;collision_intent:95;state:94,0.30000000000000004,0.25,known_visit_core_500,10,4,8
110,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,55.31558151347763,55.31558151347763,0,0,0,106,31,103,7,21,1,1,311,0,709,2022,102,110,599,220,489,0.056856187290969896,70.9,48.9,acbba_entry:489;collision_intent:110;state:110,0.30000000000000004,0.11407766990291268,known_visit_core_500,10,4,8
111,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,55.77273215499893,55.77273215499893,0,0,0,76,33,80,0,8,1,1,351,0,576,1651,74,83,493,163,413,0.05013550135501355,57.6,41.3,acbba_entry:413;collision_intent:83;state:80,0.30000000000000004,0.21875,known_visit_core_500,10,4,8
112,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,58.57651168757172,58.57651168757172,2,2,2,84,35,68,20,3,0,0,359,0,412,1181,52,88,324,176,236,0.053663570691434466,41.2,23.6,acbba_entry:236;collision_intent:88;state:88,0.55,0.36764705882352944,known_visit_core_500,10,4,8
113,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,96.11934425775198,96.11934425775198,1,1,1,84,45,85,3,0,0,0,662,0,375,1076,46,90,285,178,197,0.0539906103286385,37.5,19.7,acbba_entry:197;collision_intent:90;state:88,0.44999999999999996,0.35588235294117654,known_visit_core_500,10,4,8
114,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,58.76166869042977,58.76166869042977,1,1,1,116,32,105,15,19,0,0,321,0,827,2380,98,126,701,246,581,0.04666666666666667,82.7,58.1,acbba_entry:581;collision_intent:126;state:120,0.30000000000000004,0.09285714285714275,known_visit_core_500,10,4,8
115,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,47.849749830570005,47.849749830570005,0,0,0,96,28,95,5,12,1,1,263,0,596,1718,67,103,493,203,393,0.04539295392953929,59.6,39.3,acbba_entry:393;collision_intent:103;state:100,0.3999999999999999,0.07631578947368411,known_visit_core_500,10,4,8
116,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,56.3108778103027,56.3108778103027,0,0,0,68,23,72,0,1,0,0,369,0,403,1159,47,73,330,145,258,0.047619047619047616,40.3,25.8,acbba_entry:258;collision_intent:73;state:72,0.30000000000000004,0.15277777777777768,known_visit_core_500,10,4,8
117,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,58.11215792760523,58.11215792760523,1,1,1,93,25,96,1,9,5,4,349,0,644,1854,75,105,539,202,442,0.046468401486988845,64.4,44.2,acbba_entry:442;collision_intent:105;state:97,0.25,0.05729166666666674,known_visit_core_500,10,4,8
118,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,37.18810120461016,37.18810120461016,0,0,0,71,21,73,2,16,0,0,209,0,528,1509,73,79,449,154,374,0.05427509293680297,52.8,37.4,acbba_entry:374;collision_intent:79;state:75,0.25,0.07191780821917804,known_visit_core_500,10,4,8
119,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,48.64504913344362,48.64504913344362,1,1,1,86,29,86,4,11,0,0,281,0,461,1313,67,90,371,180,281,0.06036036036036036,46.1,28.1,acbba_entry:281;collision_intent:90;state:90,0.10000000000000009,0.16279069767441867,known_visit_core_500,10,4,8
120,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,42.14166333859532,42.14166333859532,0,0,0,84,25,87,1,6,0,0,233,0,474,1347,72,88,386,176,298,0.06233766233766234,47.4,29.8,acbba_entry:298;collision_intent:88;state:88,0.25,0.09482758620689657,known_visit_core_500,10,4,8
121,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,41.972110080212936,41.972110080212936,1,1,1,73,24,73,4,10,2,2,247,0,504,1440,69,82,422,159,345,0.05463182897862233,50.4,34.5,acbba_entry:345;collision_intent:82;state:77,0.25,0.16780821917808209,known_visit_core_500,10,4,8
122,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,49.7357755446126,49.7357755446126,0,0,0,70,29,74,0,3,0,0,309,0,364,1053,36,73,291,147,217,0.041379310344827586,36.4,21.7,acbba_entry:217;collision_intent:73;state:74,0.25,0.30405405405405395,known_visit_core_500,10,4,8
123,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,70.88957100877143,70.88957100877143,0,0,0,80,42,83,1,5,68,1,417,0,417,1199,49,86,331,170,247,0.049494949494949494,41.7,24.7,acbba_entry:247;collision_intent:86;state:84,0.5,0.3644578313253013,known_visit_core_500,10,4,8
124,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,47.62778929236899,47.62778929236899,0,0,0,92,25,93,3,15,6,4,263,0,686,1977,78,103,583,199,487,0.044673539518900345,68.6,48.7,acbba_entry:487;collision_intent:103;state:96,0.30000000000000004,0.051075268817204256,known_visit_core_500,10,4,8
125,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,39.42570465583078,39.42570465583078,1,1,1,76,24,78,2,7,0,0,222,0,489,1419,45,80,409,160,329,0.03676470588235294,48.9,32.9,acbba_entry:329;collision_intent:80;state:80,0.1499999999999999,0.11538461538461542,known_visit_core_500,10,4,8
126,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,85.24290551584811,85.24290551584811,3,3,3,79,34,77,6,1,0,0,586,0,536,1544,61,85,451,168,368,0.04518518518518518,53.6,36.8,acbba_entry:368;collision_intent:85;state:83,0.3999999999999999,0.3084415584415585,known_visit_core_500,10,4,8
127,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,64.01628962104276,64.01628962104276,0,0,0,59,37,63,0,1,0,0,438,0,247,712,26,62,185,125,122,0.04710144927536232,24.7,12.2,acbba_entry:122;collision_intent:62;state:63,0.55,0.503968253968254,known_visit_core_500,10,4,8
128,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,68.53004579341923,68.53004579341923,1,1,1,67,40,69,2,4,0,0,465,0,387,1110,49,70,317,141,246,0.051633298208640675,38.7,24.6,acbba_entry:246;collision_intent:70;state:71,0.44999999999999996,0.38043478260869557,known_visit_core_500,10,4,8
129,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,85.2317061891443,85.2317061891443,3,3,3,123,39,115,12,3,14,3,506,0,543,1562,64,131,412,258,285,0.05190592051905921,54.3,28.5,acbba_entry:285;collision_intent:131;state:127,0.3999999999999999,0.09347826086956523,known_visit_core_500,10,4,8
130,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,46.654303508504036,46.654303508504036,1,1,1,71,27,71,4,1,0,0,284,0,422,1203,60,76,346,151,271,0.057971014492753624,42.2,27.1,acbba_entry:271;collision_intent:76;state:75,0.30000000000000004,0.16549295774647876,known_visit_core_500,10,4,8
131,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,50.72187925421164,50.72187925421164,2,2,2,75,29,71,8,5,0,0,313,0,443,1272,55,83,360,162,281,0.05102040816326531,44.3,28.1,acbba_entry:281;collision_intent:83;state:79,0.30000000000000004,0.2640845070422535,known_visit_core_500,10,4,8
132,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,51.91605850675308,51.91605850675308,0,0,0,57,30,61,0,3,0,0,344,0,298,857,34,61,237,122,176,0.0480225988700565,29.8,17.6,acbba_entry:176;collision_intent:61;state:61,0.30000000000000004,0.290983606557377,known_visit_core_500,10,4,8
133,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,38.78893186269139,38.78893186269139,0,0,0,85,23,87,2,8,0,0,203,0,567,1625,73,88,479,177,390,0.05090655509065551,56.7,39.0,acbba_entry:390;collision_intent:88;state:89,0.1499999999999999,0.031609195402298784,known_visit_core_500,10,4,8
134,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,46.72054672012637,46.72054672012637,0,0,0,95,26,95,4,9,0,0,254,0,507,1439,79,99,408,198,309,0.0647010647010647,50.7,30.9,acbba_entry:309;collision_intent:99;state:99,0.1499999999999999,0.07105263157894748,known_visit_core_500,10,4,8
135,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,48.49506470694901,48.49506470694901,0,0,0,68,25,71,1,7,0,0,304,0,370,1060,47,74,296,146,224,0.05310734463276836,37.0,22.4,acbba_entry:224;collision_intent:74;state:72,0.25,0.1443661971830985,known_visit_core_500,10,4,8
