scenario,grid_size,target_cells_per_robot,robot_count,comm_label,algorithm,mean_max_agent_steps,condition_rank,percent_above_condition_best,attempted_n,completed_n,eligible_n,failed_n
CLIPS,25,140,5,bernoulli_025,PI,66.5,5,25.4223968565816,50,50,48,0
CLIPS,25,140,5,bernoulli_025,HIPC,66.0208333333333,3.5,24.5186640471513,50,50,48,0
CLIPS,25,140,5,bernoulli_025,DMCHBA,53.0208333333333,1,0,50,50,48,0
CLIPS,25,140,5,bernoulli_025,DGA,70.2708333333333,6,32.5343811394892,50,50,48,0
CLIPS,25,220,3,ideal,CBAA,86.18,2,1.10276865321447,50,50,50,0
CLIPS,25,220,3,ideal,ACBBA,86.88,3,1.92397935241671,50,50,50,0
CLIPS,25,220,3,ideal,PI,85.24,1,0,50,50,50,0
CLIPS,25,220,3,ideal,HIPC,89.62,4,5.13843266072268,50,50,50,0
CLIPS,25,220,3,ideal,DMCHBA,94.26,5,10.5818864382919,50,50,50,0
CLIPS,25,220,3,ideal,DGA,94.8,6,11.2153918348193,50,50,50,0
CLIPS,25,220,3,bernoulli_025,CBAA,110.08,6,7.62612436448963,50,50,50,0
CLIPS,25,220,3,bernoulli_025,ACBBA,102.64,2,0.351974970668752,50,50,50,0
CLIPS,25,220,3,bernoulli_025,PI,106.94,5,4.55612045365663,50,50,50,0
CLIPS,25,220,3,bernoulli_025,HIPC,103.78,3,1.46656237778647,50,50,50,0
CLIPS,25,220,3,bernoulli_025,DMCHBA,102.28,1,0,50,50,50,0
CLIPS,25,220,3,bernoulli_025,DGA,105.6,4,3.24599139616738,50,50,50,0
CLIPS,34,50,24,ideal,CBAA,27.92,4,11.9486768243785,50,50,50,0
CLIPS,34,50,24,ideal,ACBBA,27.68,2,10.9863672814755,50,50,50,0
CLIPS,34,50,24,ideal,PI,27.8,3,11.467522052927,50,50,50,0
CLIPS,34,50,24,ideal,HIPC,29.14,6,16.8404170008019,50,50,50,0
CLIPS,34,50,24,ideal,DMCHBA,24.94,1,0,50,50,50,0
CLIPS,34,50,24,ideal,DGA,28.54,5,14.4346431435445,50,50,50,0
CLIPS,34,50,24,bernoulli_025,CBAA,26.9189189189189,6,32.9773030707612,50,37,37,13
CLIPS,34,50,24,bernoulli_025,ACBBA,24.8378378378378,3,22.6969292389854,50,43,37,7
CLIPS,34,50,24,bernoulli_025,PI,26.2972972972973,4,29.9065420560751,50,39,37,11
CLIPS,34,50,24,bernoulli_025,HIPC,26.7297297297297,5,32.0427236315088,50,41,37,9
CLIPS,34,50,24,bernoulli_025,DMCHBA,22.8108108108108,2,12.683578104139,50,50,37,0
CLIPS,34,50,24,bernoulli_025,DGA,20.2432432432432,1,0,50,49,37,1
CLIPS,34,85,14,ideal,CBAA,42.48,5,6.89481630598891,50,50,50,0
CLIPS,34,85,14,ideal,ACBBA,39.74,1,0,50,50,50,0
CLIPS,34,85,14,ideal,PI,40.7,4,2.41570206341218,50,50,50,0
CLIPS,34,85,14,ideal,HIPC,40.12,2,0.956215400100643,50,50,50,0
CLIPS,34,85,14,ideal,DMCHBA,40.52,3,1.9627579265224,50,50,50,0
CLIPS,34,85,14,ideal,DGA,45.18,6,13.6889783593357,50,50,50,0
CLIPS,34,85,14,bernoulli_025,CBAA,44.1219512195122,4,37.1493555724032,50,41,41,9
CLIPS,34,85,14,bernoulli_025,ACBBA,42.3414634146341,3,31.6148597422287,50,46,41,4
CLIPS,34,85,14,bernoulli_025,PI,45.0975609756098,6,40.1819560272934,50,45,41,5
CLIPS,34,85,14,bernoulli_025,HIPC,44.3170731707317,5,37.7558756633812,50,43,41,7
CLIPS,34,85,14,bernoulli_025,DMCHBA,32.1707317073171,1,0,50,50,41,0
CLIPS,34,85,14,bernoulli_025,DGA,39.219512195122,2,21.9105382865808,50,48,41,2
CLIPS,34,140,9,ideal,CBAA,56.2,3,4.07407407407408,50,50,50,0
CLIPS,34,140,9,ideal,ACBBA,55.64,2,3.03703703703704,50,50,50,0
CLIPS,34,140,9,ideal,PI,58.28,5,7.92592592592593,50,50,50,0
CLIPS,34,140,9,ideal,HIPC,54,1,0,50,50,50,0
CLIPS,34,140,9,ideal,DMCHBA,56.68,4,4.96296296296296,50,50,50,0
CLIPS,34,140,9,ideal,DGA,66.46,6,23.0740740740741,50,50,50,0
CLIPS,34,140,9,bernoulli_025,CBAA,58.4444444444444,5,11.0641891891892,50,46,45,4
CLIPS,34,140,9,bernoulli_025,ACBBA,52.6222222222222,1,0,50,48,45,2
CLIPS,34,140,9,bernoulli_025,PI,57.2888888888889,4,8.86824324324331,50,47,45,3
CLIPS,34,140,9,bernoulli_025,HIPC,57.1111111111111,3,8.53040540540543,50,47,45,3
CLIPS,34,140,9,bernoulli_025,DMCHBA,53.9333333333333,2,2.49155405405404,50,50,45,0
CLIPS,34,140,9,bernoulli_025,DGA,66.4,6,26.1824324324325,50,50,45,0
CLIPS,34,220,6,ideal,CBAA,90.22,3,4.68786261313529,50,50,50,0
CLIPS,34,220,6,ideal,ACBBA,86.18,1,0,50,50,50,0
CLIPS,34,220,6,ideal,PI,93.96,4,9.02761661638429,50,50,50,0
CLIPS,34,220,6,ideal,HIPC,89.42,2,3.75957298677187,50,50,50,0
CLIPS,34,220,6,ideal,DMCHBA,96.46,5,11.92852169877,50,50,50,0
CLIPS,34,220,6,ideal,DGA,103.76,6,20.3991645393363,50,50,50,0
CLIPS,34,220,6,bernoulli_025,CBAA,95.6888888888889,1,0,50,45,45,5
CLIPS,34,220,6,bernoulli_025,ACBBA,96.6,2,0.952159777055257,50,49,45,1
CLIPS,34,220,6,bernoulli_025,PI,102.6,5,7.22248026010217,50,47,45,3
CLIPS,34,220,6,bernoulli_025,HIPC,101.177777777778,4,5.73618207152833,50,47,45,3
CLIPS,34,220,6,bernoulli_025,DMCHBA,100.044444444444,3,4.55178820250765,50,50,45,0
CLIPS,34,220,6,bernoulli_025,DGA,111.688888888889,6,16.7208546214585,50,50,45,0
CV,14,50,4,ideal,CBAA,16.58,3,7.80234070221065,50,50,50,0
CV,14,50,4,ideal,ACBBA,17.38,4,13.0039011703511,50,50,50,0
CV,14,50,4,ideal,PI,23.92,5,55.5266579973992,50,50,50,0
CV,14,50,4,ideal,HIPC,25.94,6,68.6605981794538,50,50,50,0
CV,14,50,4,ideal,DMCHBA,15.96,2,3.77113133940182,50,50,50,0
CV,14,50,4,ideal,DGA,15.38,1,0,50,50,50,0
CV,14,50,4,bernoulli_025,CBAA,18.34,3,10.2163461538461,50,50,50,0
CV,14,50,4,bernoulli_025,ACBBA,22.08,4,32.6923076923077,50,50,50,0
CV,14,50,4,bernoulli_025,PI,27.82,6,67.1875,50,50,50,0
CV,14,50,4,bernoulli_025,HIPC,24.3,5,46.0336538461538,50,50,50,0
CV,14,50,4,bernoulli_025,DMCHBA,16.82,2,1.08173076923077,50,50,50,0
CV,14,50,4,bernoulli_025,DGA,16.64,1,0,50,50,50,0
CV,14,85,3,ideal,CBAA,19.26,4,2.99465240641712,50,50,50,0
CV,14,85,3,ideal,ACBBA,18.84,2,0.748663101604281,50,50,50,0
CV,14,85,3,ideal,PI,24.7,5,32.0855614973262,50,50,50,0
CV,14,85,3,ideal,HIPC,27.12,6,45.0267379679144,50,50,50,0
CV,14,85,3,ideal,DMCHBA,18.7,1,0,50,50,50,0
CV,14,85,3,ideal,DGA,18.98,3,1.49732620320856,50,50,50,0
CV,14,85,3,bernoulli_025,CBAA,21.46,3,7.3,50,50,50,0
CV,14,85,3,bernoulli_025,ACBBA,23.86,4,19.3,50,50,50,0
CV,14,85,3,bernoulli_025,PI,28.42,6,42.1,50,50,50,0
CV,14,85,3,bernoulli_025,HIPC,26.04,5,30.2,50,50,50,0
CV,14,85,3,bernoulli_025,DMCHBA,20,1,0,50,50,50,0
CV,14,85,3,bernoulli_025,DGA,20.24,2,1.19999999999999,50,50,50,0
CV,14,140,2,ideal,CBAA,26.6,4,4.80693459416865,50,50,50,0
CV,14,140,2,ideal,ACBBA,25.9,2,2.0488573680063,50,50,50,0
CV,14,140,2,ideal,PI,27.44,5,8.11662726556344,50,50,50,0
CV,14,140,2,ideal,HIPC,30.02,6,18.2821118991332,50,50,50,0
CV,14,140,2,ideal,DMCHBA,26.56,3,4.64933018124507,50,50,50,0
CV,14,140,2,ideal,DGA,25.38,1,0,50,50,50,0
CV,14,140,2,bernoulli_025,CBAA,27.98,3,3.93759286775631,50,50,50,0
CV,14,140,2,bernoulli_025,ACBBA,28.72,4,6.68647845468052,50,50,50,0
CV,14,140,2,bernoulli_025,PI,31.24,6,16.0475482912333,50,50,50,0
CV,14,140,2,bernoulli_025,HIPC,30.76,5,14.2644873699851,50,50,50,0
CV,14,140,2,bernoulli_025,DMCHBA,27.32,2,1.48588410104011,50,50,50,0
CV,14,140,2,bernoulli_025,DGA,26.92,1,0,50,50,50,0
CV,14,220,1,ideal,CBAA,47.46,3,4.62962962962963,50,50,50,0
CV,14,220,1,ideal,ACBBA,48.18,6,6.21693121693122,50,50,50,0
CV,14,220,1,ideal,PI,47.52,5,4.76190476190477,50,50,50,0
CV,14,220,1,ideal,HIPC,47.46,3,4.62962962962963,50,50,50,0
CV,14,220,1,ideal,DMCHBA,47.46,3,4.62962962962963,50,50,50,0
CV,14,220,1,ideal,DGA,45.36,1,0,50,50,50,0
CV,14,220,1,bernoulli_025,CBAA,47.46,3,4.62962962962963,50,50,50,0
