trial_id,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,trial_status,failure_type,failure_message,total_team_steps,steps_before_first_clue,post_clue_steps_to_find,unique_cells_searched,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,messages_sent_total,messages_delivered_total,messages_dropped_total,debug_max_events,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,post_clue_messages_sent_total,post_clue_allocation_messages_sent_total,message_drop_fraction,messages_per_unique_cell,messages_per_post_clue_step,allocation_messages_per_step,allocation_messages_per_post_clue_step,allocation_messages_per_unique_cell,messages_sent_by_topic,max_steps_any_robot,max_messages_any_robot,workload_gini_unique_cells_contributed
32,PI,gilbert_elliot,pGG_0.88_pBB_0.92,19,361,4,,,pi_gilbert_elliott_drop_0_60_rho_0_8,,coverage,completed,,,641,641,0,361,284,0,0,0,2390,3970,3199,,668,1722,1309,1081,0,0,0.6193610842207163,6.620498614958449,0.0,1.686427457098284,0.0,2.994459833795014,collision_intent:668;pi_clear_path:2;pi_entry:1079;state:641,280,824,0.41204986149584477
33,PI,gilbert_elliot,pGG_0.88_pBB_0.92,19,361,4,,,pi_gilbert_elliott_drop_0_60_rho_0_8,,coverage,failed,RuntimeError,Debug safety cap reached in trial 33. This usually means the allocator is stuck or returning no reachable goals.,,,,,,,,,,,,100000,,,,,,,,,,,,,,,,
34,PI,gilbert_elliot,pGG_0.88_pBB_0.92,19,361,4,,,pi_gilbert_elliott_drop_0_60_rho_0_8,,coverage,completed,,,565,565,0,361,208,0,0,0,2280,3868,2971,,582,1698,1147,1133,0,0,0.5833496956607108,6.315789473684211,0.0,2.005309734513274,0.0,3.1385041551246537,collision_intent:582;pi_entry:1133;state:565,282,834,0.48684210526315796
35,PI,gilbert_elliot,pGG_0.88_pBB_0.92,19,361,4,,,pi_gilbert_elliott_drop_0_60_rho_0_8,,coverage,completed,,,640,640,0,361,283,0,0,0,2403,3865,3338,,655,1748,1295,1108,0,0,0.6369013547033009,6.6565096952908585,0.0,1.73125,0.0,3.069252077562327,collision_intent:655;pi_clear_path:1;pi_entry:1107;state:640,289,840,0.43144044321329633
36,PI,gilbert_elliot,pGG_0.88_pBB_0.92,19,361,4,,,pi_gilbert_elliott_drop_0_60_rho_0_8,,coverage,failed,RuntimeError,Debug safety cap reached in trial 36. This usually means the allocator is stuck or returning no reachable goals.,,,,,,,,,,,,100000,,,,,,,,,,,,,,,,
37,PI,gilbert_elliot,pGG_0.88_pBB_0.92,19,361,4,,,pi_gilbert_elliott_drop_0_60_rho_0_8,,coverage,completed,,,635,635,0,361,278,0,0,0,2403,4107,3101,,651,1752,1286,1117,0,0,0.590104662226451,6.6565096952908585,0.0,1.7590551181102363,0.0,3.0941828254847645,collision_intent:651;pi_entry:1117;state:635,285,832,0.35803324099723
38,PI,gilbert_elliot,pGG_0.88_pBB_0.92,19,361,4,,,pi_gilbert_elliott_drop_0_60_rho_0_8,,coverage,completed,,,678,678,0,361,321,0,0,0,2673,4454,3563,,700,1973,1378,1295,0,0,0.602163258407977,7.404432132963989,0.0,1.9100294985250736,0.0,3.587257617728532,collision_intent:700;pi_entry:1295;state:678,333,1072,0.6281163434903048
39,PI,gilbert_elliot,pGG_0.88_pBB_0.92,19,361,4,,,pi_gilbert_elliott_drop_0_60_rho_0_8,,coverage,completed,,,744,744,0,361,387,0,0,0,2588,4472,3290,,777,1811,1521,1067,0,0,0.6057816240103112,7.1689750692520775,0.0,1.4341397849462365,0.0,2.955678670360111,collision_intent:777;pi_entry:1067;state:744,248,761,0.2596952908587258
40,PI,gilbert_elliot,pGG_0.88_pBB_0.92,19,361,4,,,pi_gilbert_elliott_drop_0_60_rho_0_8,,coverage,completed,,,887,887,0,361,530,0,0,0,2590,4838,2931,,913,1677,1800,790,0,0,0.5827037773359841,7.174515235457064,0.0,0.8906426155580609,0.0,2.188365650969529,collision_intent:913;pi_entry:790;state:887,225,655,0.06440443213296398
41,PI,gilbert_elliot,pGG_0.88_pBB_0.92,19,361,4,,,pi_gilbert_elliott_drop_0_60_rho_0_8,,coverage,failed,RuntimeError,Debug safety cap reached in trial 41. This usually means the allocator is stuck or returning no reachable goals.,,,,,,,,,,,,100000,,,,,,,,,,,,,,,,
