trial_id,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,total_team_steps,steps_before_first_clue,post_clue_steps_to_find,unique_cells_searched,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,post_clue_messages_sent_total,post_clue_allocation_messages_sent_total,message_drop_fraction,messages_per_unique_cell,messages_per_post_clue_step,allocation_messages_per_step,allocation_messages_per_post_clue_step,allocation_messages_per_unique_cell,messages_sent_by_topic,max_steps_any_robot,max_messages_any_robot,workload_gini_unique_cells_contributed,trial_status
43,PI,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,pi_gilbert_elliott_drop_0_10_rho_0_8,,coverage,508,508,0,361,151,0,0,0,1461,4100,273,530,931,1038,423,0,0,0.09798994974874371,4.0470914127423825,0.0,0.8326771653543307,0.0,1.1717451523545706,collision_intent:530;pi_clear_path:1;pi_entry:422;state:508,129,372,0.07271468144044313,completed
44,PI,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,pi_gilbert_elliott_drop_0_10_rho_0_8,,coverage,465,465,0,361,108,0,0,0,1350,3756,291,476,874,941,409,0,0,0.1111111111111111,3.739612188365651,0.0,0.8795698924731182,0.0,1.1329639889196677,collision_intent:476;pi_entry:409;state:465,121,357,0.0810249307479225,completed
45,PI,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,pi_gilbert_elliott_drop_0_10_rho_0_8,,coverage,416,416,0,361,59,0,0,0,1232,3502,186,421,811,837,395,0,0,0.07660626029654036,3.412742382271468,0.0,0.9495192307692307,0.0,1.0941828254847645,collision_intent:421;pi_entry:395;state:416,105,312,0.01454293628808867,completed
46,PI,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,pi_gilbert_elliott_drop_0_10_rho_0_8,,coverage,412,412,0,361,55,0,0,0,1233,3534,163,428,805,840,393,0,0,0.06755076668048073,3.4155124653739612,0.0,0.9538834951456311,0.0,1.0886426592797784,collision_intent:428;pi_entry:393;state:412,106,311,0.010387811634348987,completed
47,PI,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,pi_gilbert_elliott_drop_0_10_rho_0_8,,coverage,496,496,0,361,139,0,0,0,1458,4062,306,521,937,1017,441,0,0,0.10909090909090909,4.038781163434903,0.0,0.8891129032258065,0.0,1.221606648199446,collision_intent:521;pi_clear_path:1;pi_entry:440;state:496,127,369,0.08795013850415523,completed
48,PI,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,pi_gilbert_elliott_drop_0_10_rho_0_8,,coverage,421,421,0,361,64,0,0,0,1250,3545,202,429,821,850,400,0,0,0.08211382113821138,3.4626038781163433,0.0,0.9501187648456056,0.0,1.10803324099723,collision_intent:429;pi_clear_path:1;pi_entry:399;state:421,107,320,0.06717451523545703,completed
49,PI,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,pi_gilbert_elliott_drop_0_10_rho_0_8,,coverage,478,478,0,361,121,0,0,0,1388,3937,224,485,903,963,425,0,0,0.0827790096082779,3.844875346260388,0.0,0.8891213389121339,0.0,1.1772853185595569,collision_intent:485;pi_clear_path:1;pi_entry:424;state:478,124,354,0.06578947368421062,completed
50,PI,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,pi_gilbert_elliott_drop_0_10_rho_0_8,,coverage,479,479,0,361,122,0,0,0,1372,3870,243,491,881,970,402,0,0,0.09204545454545454,3.8005540166204987,0.0,0.8392484342379958,0.0,1.113573407202216,collision_intent:491;pi_clear_path:3;pi_entry:399;state:479,122,353,0.07271468144044313,completed
51,PI,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,pi_gilbert_elliott_drop_0_10_rho_0_8,,coverage,472,472,0,361,115,0,0,0,1432,3971,322,480,952,952,480,0,0,0.11286365229582895,3.966759002770083,0.0,1.0169491525423728,0.0,1.3296398891966759,collision_intent:480;pi_entry:480;state:472,133,395,0.20013850415512469,completed
52,PI,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,pi_gilbert_elliott_drop_0_10_rho_0_8,,coverage,457,457,0,361,100,0,0,0,1358,3752,319,472,886,929,429,0,0,0.12015065913370998,3.7617728531855956,0.0,0.9387308533916849,0.0,1.188365650969529,collision_intent:472;pi_clear_path:2;pi_entry:427;state:457,115,348,0.04778393351800547,completed
