trial_id,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,trial_status,failure_type,failure_message,robot_id,steps_total,steps_after_first_clue,unique_cells_contributed,system_revisits_by_robot,task_cell_replans,path_replans,collision_prevention_events,messages_sent,messages_delivered_to_robot,messages_dropped_to_robot,protected_messages_sent,unprotected_messages_sent,core_messages_sent,allocation_messages_sent,post_clue_messages_sent,messages_sent_by_topic
74,HIPC,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,hipc_gilbert_elliott_drop_0_50_rho_0_8,,coverage,completed,,,00,202,0,113,90,0,0,0,964,1756,1028,207,757,409,555,0,collision_intent:207;hipc_entry:555;state:202
74,HIPC,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,hipc_gilbert_elliott_drop_0_50_rho_0_8,,coverage,completed,,,01,207,0,101,107,0,0,0,964,1736,1049,212,752,419,545,0,collision_intent:212;hipc_clear_bundle:2;hipc_entry:543;state:207
74,HIPC,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,hipc_gilbert_elliott_drop_0_50_rho_0_8,,coverage,completed,,,02,206,0,62,145,0,0,0,892,1648,1209,207,685,413,479,0,collision_intent:207;hipc_entry:479;state:206
74,HIPC,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,hipc_gilbert_elliott_drop_0_50_rho_0_8,,coverage,completed,,,03,208,0,85,124,0,0,0,930,1696,1122,209,721,417,513,0,collision_intent:209;hipc_clear_bundle:1;hipc_entry:512;state:208
75,HIPC,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,hipc_gilbert_elliott_drop_0_50_rho_0_8,,coverage,completed,,,00,196,0,73,124,0,0,0,869,1649,1002,201,668,397,472,0,collision_intent:201;hipc_entry:472;state:196
75,HIPC,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,hipc_gilbert_elliott_drop_0_50_rho_0_8,,coverage,completed,,,01,196,0,115,82,0,0,0,898,1675,947,198,700,394,504,0,collision_intent:198;hipc_entry:504;state:196
75,HIPC,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,hipc_gilbert_elliott_drop_0_50_rho_0_8,,coverage,completed,,,02,196,0,91,106,0,0,0,893,1608,1019,199,694,395,498,0,collision_intent:199;hipc_clear_bundle:1;hipc_entry:497;state:196
75,HIPC,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,hipc_gilbert_elliott_drop_0_50_rho_0_8,,coverage,completed,,,03,197,0,82,116,0,0,0,860,1709,950,202,658,399,461,0,collision_intent:202;hipc_entry:461;state:197
76,HIPC,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,hipc_gilbert_elliott_drop_0_50_rho_0_8,,coverage,completed,,,00,67,0,54,14,0,0,0,1104,2108,1491,71,1033,138,966,0,collision_intent:71;hipc_entry:966;state:67
76,HIPC,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,hipc_gilbert_elliott_drop_0_50_rho_0_8,,coverage,completed,,,01,70,0,25,46,0,0,0,1058,2160,1486,74,984,144,914,0,collision_intent:74;hipc_entry:914;state:70
76,HIPC,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,hipc_gilbert_elliott_drop_0_50_rho_0_8,,coverage,completed,,,02,282,0,80,203,0,0,0,1223,1872,1609,284,939,566,657,0,collision_intent:284;hipc_entry:657;state:282
76,HIPC,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,hipc_gilbert_elliott_drop_0_50_rho_0_8,,coverage,completed,,,03,284,0,202,83,0,0,0,1319,1931,1453,289,1030,573,746,0,collision_intent:289;hipc_entry:746;state:284
77,HIPC,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,hipc_gilbert_elliott_drop_0_50_rho_0_8,,coverage,completed,,,00,9,0,7,3,0,0,0,1234,2342,1741,13,1221,22,1212,0,collision_intent:13;hipc_entry:1212;state:9
77,HIPC,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,hipc_gilbert_elliott_drop_0_50_rho_0_8,,coverage,completed,,,01,308,0,157,152,0,0,0,1399,2077,1841,309,1090,617,782,0,collision_intent:309;hipc_clear_bundle:1;hipc_entry:781;state:308
