trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,robot_id,steps_total,targets_found,task_cell_revisits,unique_cells_contributed,system_revisits_by_robot,task_cell_replans,path_replans,collision_prevention_events,stall_recoveries,messages_sent,core_messages_sent,allocation_messages_sent,messages_delivered_to_robot,messages_dropped_to_robot,sensitivity_suite,sensitivity_parameter,sensitivity_value,sensitivity_label,num_targets,num_robots
230,known_visit,HIPC,ideal,1.0,19,361,4,10,hipc_h3_ideal,known_visit_10target_300.csv,02,26,5,0,27,0,0,0,0,0,70,54,16,124,0,known_visit_horizon,commitment_horizon,3,h3,10,4
230,known_visit,HIPC,ideal,1.0,19,361,4,10,hipc_h3_ideal,known_visit_10target_300.csv,03,14,1,0,15,0,1,0,0,0,43,30,13,149,0,known_visit_horizon,commitment_horizon,3,h3,10,4
231,known_visit,HIPC,ideal,1.0,19,361,4,10,hipc_h3_ideal,known_visit_10target_300.csv,00,13,2,0,14,0,0,0,0,0,35,28,7,132,0,known_visit_horizon,commitment_horizon,3,h3,10,4
231,known_visit,HIPC,ideal,1.0,19,361,4,10,hipc_h3_ideal,known_visit_10target_300.csv,01,21,3,0,22,0,1,0,0,0,61,45,16,106,0,known_visit_horizon,commitment_horizon,3,h3,10,4
231,known_visit,HIPC,ideal,1.0,19,361,4,10,hipc_h3_ideal,known_visit_10target_300.csv,02,2,2,0,3,0,0,0,0,0,11,6,5,156,0,known_visit_horizon,commitment_horizon,3,h3,10,4
231,known_visit,HIPC,ideal,1.0,19,361,4,10,hipc_h3_ideal,known_visit_10target_300.csv,03,23,3,0,24,0,0,0,0,0,61,48,13,107,0,known_visit_horizon,commitment_horizon,3,h3,10,4
232,known_visit,HIPC,ideal,1.0,19,361,4,10,hipc_h3_ideal,known_visit_10target_300.csv,00,18,3,0,19,0,0,0,0,0,51,38,13,85,0,known_visit_horizon,commitment_horizon,3,h3,10,4
232,known_visit,HIPC,ideal,1.0,19,361,4,10,hipc_h3_ideal,known_visit_10target_300.csv,01,1,0,0,2,0,0,0,0,0,10,4,6,126,0,known_visit_horizon,commitment_horizon,3,h3,10,4
232,known_visit,HIPC,ideal,1.0,19,361,4,10,hipc_h3_ideal,known_visit_10target_300.csv,02,5,2,0,6,0,0,0,0,0,19,12,7,117,0,known_visit_horizon,commitment_horizon,3,h3,10,4
232,known_visit,HIPC,ideal,1.0,19,361,4,10,hipc_h3_ideal,known_visit_10target_300.csv,03,22,5,0,23,0,0,0,0,0,57,45,12,80,0,known_visit_horizon,commitment_horizon,3,h3,10,4
233,known_visit,HIPC,ideal,1.0,19,361,4,10,hipc_h3_ideal,known_visit_10target_300.csv,00,20,3,0,21,0,0,0,0,0,55,42,13,116,0,known_visit_horizon,commitment_horizon,3,h3,10,4
233,known_visit,HIPC,ideal,1.0,19,361,4,10,hipc_h3_ideal,known_visit_10target_300.csv,01,10,1,0,11,0,1,0,0,0,28,22,6,143,0,known_visit_horizon,commitment_horizon,3,h3,10,4
233,known_visit,HIPC,ideal,1.0,19,361,4,10,hipc_h3_ideal,known_visit_10target_300.csv,02,12,2,0,13,0,0,0,0,0,33,26,7,138,0,known_visit_horizon,commitment_horizon,3,h3,10,4
233,known_visit,HIPC,ideal,1.0,19,361,4,10,hipc_h3_ideal,known_visit_10target_300.csv,03,23,4,0,24,0,0,0,0,0,56,47,9,116,0,known_visit_horizon,commitment_horizon,3,h3,10,4
234,known_visit,HIPC,ideal,1.0,19,361,4,10,hipc_h3_ideal,known_visit_10target_300.csv,00,16,3,0,17,0,0,0,0,0,41,34,7,124,0,known_visit_horizon,commitment_horizon,3,h3,10,4
234,known_visit,HIPC,ideal,1.0,19,361,4,10,hipc_h3_ideal,known_visit_10target_300.csv,01,15,2,0,16,0,0,0,0,0,39,32,7,126,0,known_visit_horizon,commitment_horizon,3,h3,10,4
234,known_visit,HIPC,ideal,1.0,19,361,4,10,hipc_h3_ideal,known_visit_10target_300.csv,02,11,2,0,12,0,0,0,0,0,29,24,5,136,0,known_visit_horizon,commitment_horizon,3,h3,10,4
234,known_visit,HIPC,ideal,1.0,19,361,4,10,hipc_h3_ideal,known_visit_10target_300.csv,03,24,3,0,25,0,1,0,0,0,57,49,8,109,0,known_visit_horizon,commitment_horizon,3,h3,10,4
235,known_visit,HIPC,ideal,1.0,19,361,4,10,hipc_h3_ideal,known_visit_10target_300.csv,00,27,4,0,28,0,0,0,0,0,64,55,9,83,0,known_visit_horizon,commitment_horizon,3,h3,10,4
235,known_visit,HIPC,ideal,1.0,19,361,4,10,hipc_h3_ideal,known_visit_10target_300.csv,01,2,1,0,3,0,0,0,0,0,13,6,7,133,0,known_visit_horizon,commitment_horizon,3,h3,10,4
