setting,run_id,algorithm,comm_label,comm_model,comm_level,horizon,scenario_file,grid_size,num_robots,num_targets,max_trials,out_dir
h8,pi_h8_ge_075,PI,ge_075,gilbert_elliot,0.75,8,known_visit_10target_300.csv,19,4,10,300,runs/sensitivity_known_visit_horizon_300/raw/h8/gilbert_elliot/pi_h8_ge_075
h8,pi_h8_rayleigh_m50_66,PI,rayleigh_m50_66,rayleigh_style,-50.66,8,known_visit_10target_300.csv,19,4,10,300,runs/sensitivity_known_visit_horizon_300/raw/h8/rayleigh_style/pi_h8_rayleigh_m50_66
h8,hipc_h8_ideal,HIPC,ideal,ideal,,8,known_visit_10target_300.csv,19,4,10,300,runs/sensitivity_known_visit_horizon_300/raw/h8/ideal/hipc_h8_ideal
h8,hipc_h8_bernoulli_025,HIPC,bernoulli_025,bernoulli,0.25,8,known_visit_10target_300.csv,19,4,10,300,runs/sensitivity_known_visit_horizon_300/raw/h8/bernoulli/hipc_h8_bernoulli_025
h8,hipc_h8_ge_075,HIPC,ge_075,gilbert_elliot,0.75,8,known_visit_10target_300.csv,19,4,10,300,runs/sensitivity_known_visit_horizon_300/raw/h8/gilbert_elliot/hipc_h8_ge_075
h8,hipc_h8_rayleigh_m50_66,HIPC,rayleigh_m50_66,rayleigh_style,-50.66,8,known_visit_10target_300.csv,19,4,10,300,runs/sensitivity_known_visit_horizon_300/raw/h8/rayleigh_style/hipc_h8_rayleigh_m50_66
h8,dmchba_h8_ideal,DMCHBA,ideal,ideal,,8,known_visit_10target_300.csv,19,4,10,300,runs/sensitivity_known_visit_horizon_300/raw/h8/ideal/dmchba_h8_ideal
h8,dmchba_h8_bernoulli_025,DMCHBA,bernoulli_025,bernoulli,0.25,8,known_visit_10target_300.csv,19,4,10,300,runs/sensitivity_known_visit_horizon_300/raw/h8/bernoulli/dmchba_h8_bernoulli_025
h8,dmchba_h8_ge_075,DMCHBA,ge_075,gilbert_elliot,0.75,8,known_visit_10target_300.csv,19,4,10,300,runs/sensitivity_known_visit_horizon_300/raw/h8/gilbert_elliot/dmchba_h8_ge_075
h8,dmchba_h8_rayleigh_m50_66,DMCHBA,rayleigh_m50_66,rayleigh_style,-50.66,8,known_visit_10target_300.csv,19,4,10,300,runs/sensitivity_known_visit_horizon_300/raw/h8/rayleigh_style/dmchba_h8_rayleigh_m50_66
h8,dga_h8_ideal,DGA,ideal,ideal,,8,known_visit_10target_300.csv,19,4,10,300,runs/sensitivity_known_visit_horizon_300/raw/h8/ideal/dga_h8_ideal
h8,dga_h8_bernoulli_025,DGA,bernoulli_025,bernoulli,0.25,8,known_visit_10target_300.csv,19,4,10,300,runs/sensitivity_known_visit_horizon_300/raw/h8/bernoulli/dga_h8_bernoulli_025
h8,dga_h8_ge_075,DGA,ge_075,gilbert_elliot,0.75,8,known_visit_10target_300.csv,19,4,10,300,runs/sensitivity_known_visit_horizon_300/raw/h8/gilbert_elliot/dga_h8_ge_075
h8,dga_h8_rayleigh_m50_66,DGA,rayleigh_m50_66,rayleigh_style,-50.66,8,known_visit_10target_300.csv,19,4,10,300,runs/sensitivity_known_visit_horizon_300/raw/h8/rayleigh_style/dga_h8_rayleigh_m50_66
h12,acbba_h12_ideal,ACBBA,ideal,ideal,,12,known_visit_10target_300.csv,19,4,10,300,runs/sensitivity_known_visit_horizon_300/raw/h12/ideal/acbba_h12_ideal
h12,acbba_h12_bernoulli_025,ACBBA,bernoulli_025,bernoulli,0.25,12,known_visit_10target_300.csv,19,4,10,300,runs/sensitivity_known_visit_horizon_300/raw/h12/bernoulli/acbba_h12_bernoulli_025
h12,acbba_h12_ge_075,ACBBA,ge_075,gilbert_elliot,0.75,12,known_visit_10target_300.csv,19,4,10,300,runs/sensitivity_known_visit_horizon_300/raw/h12/gilbert_elliot/acbba_h12_ge_075
h12,acbba_h12_rayleigh_m50_66,ACBBA,rayleigh_m50_66,rayleigh_style,-50.66,12,known_visit_10target_300.csv,19,4,10,300,runs/sensitivity_known_visit_horizon_300/raw/h12/rayleigh_style/acbba_h12_rayleigh_m50_66
h12,pi_h12_ideal,PI,ideal,ideal,,12,known_visit_10target_300.csv,19,4,10,300,runs/sensitivity_known_visit_horizon_300/raw/h12/ideal/pi_h12_ideal
h12,pi_h12_bernoulli_025,PI,bernoulli_025,bernoulli,0.25,12,known_visit_10target_300.csv,19,4,10,300,runs/sensitivity_known_visit_horizon_300/raw/h12/bernoulli/pi_h12_bernoulli_025
h12,pi_h12_ge_075,PI,ge_075,gilbert_elliot,0.75,12,known_visit_10target_300.csv,19,4,10,300,runs/sensitivity_known_visit_horizon_300/raw/h12/gilbert_elliot/pi_h12_ge_075
h12,pi_h12_rayleigh_m50_66,PI,rayleigh_m50_66,rayleigh_style,-50.66,12,known_visit_10target_300.csv,19,4,10,300,runs/sensitivity_known_visit_horizon_300/raw/h12/rayleigh_style/pi_h12_rayleigh_m50_66
h12,hipc_h12_ideal,HIPC,ideal,ideal,,12,known_visit_10target_300.csv,19,4,10,300,runs/sensitivity_known_visit_horizon_300/raw/h12/ideal/hipc_h12_ideal
h12,hipc_h12_bernoulli_025,HIPC,bernoulli_025,bernoulli,0.25,12,known_visit_10target_300.csv,19,4,10,300,runs/sensitivity_known_visit_horizon_300/raw/h12/bernoulli/hipc_h12_bernoulli_025
h12,hipc_h12_ge_075,HIPC,ge_075,gilbert_elliot,0.75,12,known_visit_10target_300.csv,19,4,10,300,runs/sensitivity_known_visit_horizon_300/raw/h12/gilbert_elliot/hipc_h12_ge_075
h12,hipc_h12_rayleigh_m50_66,HIPC,rayleigh_m50_66,rayleigh_style,-50.66,12,known_visit_10target_300.csv,19,4,10,300,runs/sensitivity_known_visit_horizon_300/raw/h12/rayleigh_style/hipc_h12_rayleigh_m50_66
h12,dmchba_h12_ideal,DMCHBA,ideal,ideal,,12,known_visit_10target_300.csv,19,4,10,300,runs/sensitivity_known_visit_horizon_300/raw/h12/ideal/dmchba_h12_ideal
h12,dmchba_h12_bernoulli_025,DMCHBA,bernoulli_025,bernoulli,0.25,12,known_visit_10target_300.csv,19,4,10,300,runs/sensitivity_known_visit_horizon_300/raw/h12/bernoulli/dmchba_h12_bernoulli_025
h12,dmchba_h12_ge_075,DMCHBA,ge_075,gilbert_elliot,0.75,12,known_visit_10target_300.csv,19,4,10,300,runs/sensitivity_known_visit_horizon_300/raw/h12/gilbert_elliot/dmchba_h12_ge_075
h12,dmchba_h12_rayleigh_m50_66,DMCHBA,rayleigh_m50_66,rayleigh_style,-50.66,12,known_visit_10target_300.csv,19,4,10,300,runs/sensitivity_known_visit_horizon_300/raw/h12/rayleigh_style/dmchba_h12_rayleigh_m50_66
h12,dga_h12_ideal,DGA,ideal,ideal,,12,known_visit_10target_300.csv,19,4,10,300,runs/sensitivity_known_visit_horizon_300/raw/h12/ideal/dga_h12_ideal
h12,dga_h12_bernoulli_025,DGA,bernoulli_025,bernoulli,0.25,12,known_visit_10target_300.csv,19,4,10,300,runs/sensitivity_known_visit_horizon_300/raw/h12/bernoulli/dga_h12_bernoulli_025
h12,dga_h12_ge_075,DGA,ge_075,gilbert_elliot,0.75,12,known_visit_10target_300.csv,19,4,10,300,runs/sensitivity_known_visit_horizon_300/raw/h12/gilbert_elliot/dga_h12_ge_075
h12,dga_h12_rayleigh_m50_66,DGA,rayleigh_m50_66,rayleigh_style,-50.66,12,known_visit_10target_300.csv,19,4,10,300,runs/sensitivity_known_visit_horizon_300/raw/h12/rayleigh_style/dga_h12_rayleigh_m50_66
