trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,target_locations,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,targets_found_by_robot,robot_start_locations,robot_end_locations,events_processed,stall_recoveries_total,trial_status
30,known_visit,ACBBA,bernoulli,drop_0.25,34,1156,6,10,acbba_g34_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(28,8);(23,15);(28,19);(29,4);(20,7);(12,22);(24,15);(31,25);(5,5);(16,22)",10,True,71.6127611329106,71.6127611329106,00:2;01:0;02:4;03:3;04:1;05:0,"(0,0);(0,7);(0,13);(0,20);(0,26);(0,33)","(25,7);(21,4);(29,4);(24,14);(31,21);(25,19)",563,0,completed
31,known_visit,ACBBA,bernoulli,drop_0.25,34,1156,6,10,acbba_g34_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(20,2);(20,12);(17,22);(30,16);(28,19);(16,4);(21,16);(20,3);(29,9);(13,22)",10,True,64.14559368494015,64.14559368494015,00:2;01:1;02:2;03:4;04:1;05:0,"(0,0);(0,7);(0,13);(0,20);(0,26);(0,33)","(16,4);(22,12);(29,9);(30,16);(21,16);(15,19)",506,0,completed
32,known_visit,ACBBA,bernoulli,drop_0.25,34,1156,6,10,acbba_g34_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(25,22);(19,16);(2,33);(17,21);(19,27);(24,25);(25,6);(21,15);(25,24);(15,28)",10,True,52.58725434609247,52.58725434609247,00:0;01:1;02:2;03:4;04:0;05:3,"(0,0);(0,7);(0,13);(0,20);(0,26);(0,33)","(20,11);(26,10);(25,16);(24,25);(15,28);(21,23)",402,0,completed
33,known_visit,ACBBA,bernoulli,drop_0.25,34,1156,6,10,acbba_g34_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(23,9);(4,26);(3,32);(30,6);(2,30);(28,32);(17,6);(19,11);(12,26);(32,17)",10,True,94.06989175209361,94.06989175209361,00:1;01:2;02:1;03:2;04:3;05:1,"(0,0);(0,7);(0,13);(0,20);(0,26);(0,33)","(21,17);(32,26);(5,31);(23,9);(28,32);(27,23)",808,0,completed
34,known_visit,ACBBA,bernoulli,drop_0.25,34,1156,6,10,acbba_g34_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(20,6);(10,3);(14,22);(18,33);(24,22);(31,5);(18,6);(8,9);(25,33);(33,2)",10,True,72.47361790709593,72.47361790709593,00:5;01:0;02:1;03:2;04:0;05:2,"(0,0);(0,7);(0,13);(0,20);(0,26);(0,33)","(33,2);(10,3);(17,22);(23,6);(13,5);(25,16)",564,0,completed
35,known_visit,ACBBA,bernoulli,drop_0.25,34,1156,6,10,acbba_g34_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(28,9);(30,28);(32,28);(18,24);(17,11);(2,10);(29,33);(11,11);(7,15);(32,5)",10,True,101.29667237792907,101.29667237792907,00:1;01:5;02:0;03:1;04:1;05:2,"(0,0);(0,7);(0,13);(0,20);(0,26);(0,33)","(32,28);(32,6);(18,21);(30,23);(24,11);(17,17)",809,0,completed
36,known_visit,ACBBA,bernoulli,drop_0.25,34,1156,6,10,acbba_g34_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(5,4);(26,16);(29,17);(13,10);(4,1);(2,3);(15,3);(22,12);(27,4);(20,15)",10,True,79.45367433373833,79.45367433373833,00:3;01:2;02:1;03:1;04:1;05:2,"(0,0);(0,7);(0,13);(0,20);(0,26);(0,33)","(27,9);(22,12);(26,9);(20,15);(13,1);(29,17)",655,0,completed
37,known_visit,ACBBA,bernoulli,drop_0.25,34,1156,6,10,acbba_g34_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(15,29);(6,3);(21,27);(10,13);(10,26);(2,28);(23,10);(17,23);(4,17);(29,22)",10,True,86.19371735885248,86.19371735885248,00:1;01:1;02:3;03:1;04:4;05:0,"(0,0);(0,7);(0,13);(0,20);(0,26);(0,33)","(10,26);(16,25);(29,22);(21,27);(17,23);(4,17)",718,0,completed
38,known_visit,ACBBA,bernoulli,drop_0.25,34,1156,6,10,acbba_g34_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(33,12);(33,15);(22,7);(30,10);(5,19);(27,13);(8,8);(12,28);(15,2);(11,8)",10,True,62.551764068905406,62.551764068905406,00:2;01:3;02:3;03:1;04:0;05:1,"(0,0);(0,7);(0,13);(0,20);(0,26);(0,33)","(25,7);(30,12);(33,15);(15,2);(10,13);(12,8)",492,0,completed
39,known_visit,ACBBA,bernoulli,drop_0.25,34,1156,6,10,acbba_g34_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(16,17);(20,16);(23,6);(25,15);(29,27);(23,8);(31,13);(19,24);(9,4);(2,18)",10,True,75.54735303692982,75.54735303692982,00:3;01:1;02:2;03:2;04:1;05:1,"(0,0);(0,7);(0,13);(0,20);(0,26);(0,33)","(31,13);(23,6);(29,22);(23,8);(20,24);(18,17)",586,0,completed
